code,name,sector,score,stars,linkage,theme,supply,etf,tech,fund,material,penalty,signal,driver,gap_pct,rs20,atr_pct,dev25,stop,close,chg5d,v_ratio,turnover_m,reasons_str
6146,ディスコ,機械,42.4,★★☆☆☆,24.7,6.0,4.7,0.0,0.0,7.0,0.0,0.0,,Micron,11.1,-25.2,7.9,-19.0,51319,60890.0,-13.7,3.2,120751,Micron+14.4%連動(β0.35) 未反応+11.1% / HBM・後工程(-6.6%) / 出来高急増3.2倍 / 増収+27% / ROE27%
6323,ローツェ,機械,39.9,★☆☆☆☆,24.4,6.0,3.0,0.0,1.0,5.5,0.0,0.0,,Micron,5.1,-5.1,9.1,-5.4,3597,4395.0,-6.0,0.8,14063,Micron+14.4%連動(β0.34) 未反応+5.1% / 半導体製造装置(-8.7%) / ROE15%
7735,ＳＣＲＥＥＮホールディングス,電気機器,37.8,★☆☆☆☆,22.8,6.0,1.0,0.0,1.0,7.0,0.0,0.0,,Micron,8.3,-6.1,7.7,-8.9,13424,15850.0,-15.6,1.0,63935,Micron+14.4%連動(β0.30) 未反応+8.3% / 半導体製造装置(-8.7%) / ROE20%
8035,東京エレクトロン,電気機器,36.2,★☆☆☆☆,24.7,6.0,0.0,0.0,0.0,5.5,0.0,0.0,,Micron,8.8,-12.9,6.7,-12.4,54290,62660.0,-11.6,0.9,303527,Micron+14.4%連動(β0.35) 未反応+8.8% / 半導体製造装置(-8.7%) / ROE29%
6098,リクルートホールディングス,サービス業,35.2,★☆☆☆☆,18.0,0.0,2.0,0.0,8.2,7.0,0.0,0.0,,Emerson,8.3,11.2,3.2,1.1,11279,12055.0,-4.4,1.0,49091,Emerson+6.1%連動(β0.39) 未反応+8.3% / MA上昇配列 / パーフェクトオーダー / ROE31%
8544,京葉銀行,銀行業,33.3,★☆☆☆☆,5.0,0.0,5.3,0.0,15.0,8.0,0.0,0.0,,Emerson,-13.2,19.4,3.4,10.1,2648,2844.0,6.1,1.7,1141,Emerson+6.1%連動(β0.33) / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+44% / PER22倍
8377,ほくほくフィナンシャルグループ,銀行業,33.2,★☆☆☆☆,5.7,0.0,3.3,0.0,13.5,9.0,1.7,0.0,,Emerson,-8.5,21.4,3.7,7.5,7136,7714.0,1.8,0.6,3035,Emerson+6.1%連動(β0.37) / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 開示[株式分割](2日前) / 増収+65% / PER16倍
6951,日本電子,電気機器,32.8,★☆☆☆☆,12.8,0.0,2.0,0.0,12.0,6.0,0.0,0.0,,Micron,1.4,16.0,4.9,6.8,7395,8194.0,-5.4,0.7,2792,Micron+14.4%連動(β0.24) 未反応+1.4% / MA上昇配列 / パーフェクトオーダー / ROE16% / PER19倍
8750,第一ライフグループ,保険業,32.7,★☆☆☆☆,5.4,0.0,3.3,0.0,15.0,9.0,0.0,0.0,,Emerson,-4.9,16.8,2.5,5.2,1830,1925.0,4.8,1.0,18825,Emerson+6.1%連動(β0.35) / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+26% / PER16倍
4980,デクセリアルズ,化学,32.7,★☆☆☆☆,18.2,6.0,0.0,0.0,0.0,8.5,0.0,0.0,,Dell,2.8,-25.3,5.9,-14.8,3132,3551.0,-6.0,0.6,7470,Dell+15.2%連動(β0.26) 未反応+2.8% / 光通信・電線(-1.3%) / ROE27% / PER22倍
8387,四国銀行,銀行業,32.6,★☆☆☆☆,4.3,0.0,5.3,0.0,15.0,8.0,0.0,0.0,,Emerson,-10.2,24.5,3.5,11.7,3221,3465.0,5.5,1.7,422,Emerson+6.1%連動(β0.28) / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+49% / PER8倍
5830,いよぎんホールディングス,銀行業,32.0,★☆☆☆☆,4.2,0.0,5.3,0.0,13.5,9.0,0.0,0.0,,Emerson,-8.5,18.7,3.2,8.6,3332,3556.0,5.0,2.2,2963,Emerson+6.1%連動(β0.27) / 出来高増2.2倍 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 増収+355% / PER14倍
8698,マネックスグループ,証券、商品先物取引業,31.8,★☆☆☆☆,14.5,0.0,4.3,0.0,8.0,5.0,0.0,0.0,,Emerson,2.6,24.3,3.4,7.0,685,735.0,-3.5,0.7,2569,Emerson+6.1%連動(β0.45) 未反応+2.6% / 買い出来高優勢 / MA上昇配列 / PER17倍
7337,ひろぎんホールディングス,銀行業,31.6,★☆☆☆☆,4.6,0.0,3.0,0.0,15.0,9.0,0.0,0.0,,Emerson,-6.3,15.1,2.4,5.9,2192,2304.0,3.2,1.2,1439,Emerson+6.1%連動(β0.30) / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+40% / PER16倍
4063,信越化学工業,化学,31.3,★☆☆☆☆,20.5,0.0,0.0,0.0,2.2,6.0,2.6,0.0,,Honeywell,9.8,-2.3,4.5,-6.4,6098,6702.0,-9.0,1.1,51782,Honeywell+8.9%連動(β0.38) 未反応+9.8% / 開示[自己株式取得](2日前)
6501,日立製作所,電気機器,31.2,★☆☆☆☆,9.1,7.1,2.0,0.0,7.0,6.0,0.0,0.0,,Micron,0.4,10.5,2.8,2.8,4575,4850.0,0.5,0.6,54399,Micron+14.4%連動(β0.22) / 量子(+0.6%)
8411,みずほフィナンシャルグループ,銀行業,31.2,★☆☆☆☆,5.4,0.0,3.3,0.0,13.5,9.0,0.0,0.0,,Emerson,-6.9,16.0,3.2,6.2,8094,8652.0,2.5,1.1,74930,Emerson+6.1%連動(β0.36) / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 増収+45% / PER17倍
8359,八十二長野銀行,銀行業,31.2,★☆☆☆☆,4.9,0.0,3.3,0.0,15.0,8.0,0.0,0.0,,Emerson,-6.9,17.5,2.9,6.8,2522,2674.0,2.8,1.0,3242,Emerson+6.1%連動(β0.32) / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+170% / PER19倍
8341,七十七銀行,銀行業,31.0,★☆☆☆☆,5.0,0.0,2.0,0.0,15.0,9.0,0.0,0.0,,Emerson,-7.7,12.8,3.0,5.1,3412,3631.0,3.4,1.1,1784,Emerson+6.1%連動(β0.33) / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+24% / PER15倍
6315,ＴＯＷＡ,機械,30.5,★☆☆☆☆,17.5,6.0,2.0,0.0,0.0,5.0,0.0,0.0,,Micron,2.1,-11.6,8.3,-9.8,2380,2854.0,-9.8,0.9,12892,Micron+14.4%連動(β0.31) 未反応+2.1% / HBM・後工程(-6.6%) / 増収+23%
8604,野村ホールディングス,証券、商品先物取引業,30.5,★☆☆☆☆,6.0,0.0,2.0,0.0,13.5,9.0,0.0,0.0,,Emerson,-2.9,17.2,3.0,6.4,1504,1600.0,-0.6,0.9,15962,Emerson+6.1%連動(β0.39) / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 増収+28% / PER13倍
6055,ジャパンマテリアル,サービス業,30.3,★☆☆☆☆,20.7,0.0,0.0,0.0,1.0,7.0,1.6,0.0,,Micron,4.2,-13.7,6.8,-10.9,1933,2238.0,-8.2,0.5,2475,Micron+14.4%連動(β0.24) 未反応+4.2% / 開示[子会社化](3日前) / ROE18% / PER22倍
8600,トモニホールディングス,銀行業,30.3,★☆☆☆☆,4.9,0.0,6.7,0.0,13.7,5.0,0.0,0.0,,Emerson,-10.8,22.5,3.0,12.2,963,1024.0,7.3,2.5,515,Emerson+6.1%連動(β0.32) / 出来高増2.5倍 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / PER12倍
6266,タツモ,機械,30.3,★☆☆☆☆,22.3,0.0,3.0,0.0,1.0,4.0,0.0,0.0,,Micron,7.8,-3.9,9.2,-7.5,3624,4440.0,-11.1,0.8,1622,Micron+14.4%連動(β0.29) 未反応+7.8% / PER18倍
8360,山梨中央銀行,銀行業,30.2,★☆☆☆☆,5.2,0.0,3.0,0.0,15.0,7.0,0.0,0.0,,Emerson,-12.4,20.8,4.0,10.9,6519,7090.0,5.3,1.2,881,Emerson+6.1%連動(β0.34) / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+86% / PER22倍
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,金属製品,30.1,★☆☆☆☆,20.5,0.0,0.0,0.0,0.0,7.5,2.1,0.0,,Micron,6.2,-7.5,9.9,-14.5,5033,6270.0,-12.4,0.8,2131,Micron+14.4%連動(β0.24) 未反応+6.2% / 開示[資本提携](2日前) / PER18倍
8388,阿波銀行,銀行業,30.0,★☆☆☆☆,4.7,0.0,5.3,0.0,15.0,8.0,0.0,-3.0,,Emerson,-11.9,29.8,3.3,15.3,8111,8680.0,8.2,1.6,768,Emerson+6.1%連動(β0.31) / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 伸びすぎ注意(25MA+15%) / 増収+28% / PER22倍
6590,芝浦メカトロニクス,電気機器,30.0,★☆☆☆☆,23.5,0.0,1.0,0.0,1.0,4.5,0.0,0.0,,Micron,4.2,8.8,9.9,-2.5,4054,5060.0,-6.6,0.7,15129,Micron+14.4%連動(β0.32) 未反応+4.2% / ROE22%
6871,日本マイクロニクス,電気機器,29.8,★☆☆☆☆,14.6,6.0,0.0,0.0,2.2,7.0,0.0,0.0,,Micron,-4.1,-9.0,8.6,-4.5,12704,15360.0,-3.6,0.8,20595,Micron+14.4%連動(β0.41) / 半導体製造装置(-8.7%) / 増収+26% / ROE24%
