code,name,sector,score,score_raw,days_in_top,rank,stars,linkage,ignition,rs_days,rs_slope,theme,supply,etf,tech,fund,material,penalty,signal,driver,gap_pct,rs20,atr_pct,dev25,stop,close,chg5d,v_ratio,turnover_m,reasons_str
8309,三井住友トラストグループ,銀行業,41.8,41.8,1,1,★★★★★,0.0,16.0,0,7.7,0.0,3.3,0.0,13.5,9.0,0.0,0.0,監視(強),,0.0,6.3,2.0,4.9,1717,1790.5,5.2,0.1,13674,RS転換0日目 / RS加速+7.7 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 増収+27% / PER14倍
5832,ちゅうぎんフィナンシャルグループ,銀行業,41.5,41.5,1,2,★★★★★,0.0,18.0,0,7.4,0.0,2.0,0.0,13.5,8.0,0.0,0.0,監視(強),,0.0,5.1,2.4,4.3,3388,3559.0,5.2,0.1,885,RS転換0日目 / RS加速+7.4 / 25MA上抜け6日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 増収+136% / PER16倍
8354,ふくおかフィナンシャルグループ,銀行業,41.0,41.0,1,3,★★★★★,0.0,18.0,0,7.5,0.0,2.0,0.0,13.5,7.5,0.0,0.0,監視(強),,0.0,4.6,2.4,3.5,7474,7847.0,4.1,0.1,4801,RS転換0日目 / RS加速+7.5 / 25MA上抜け6日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / PER17倍
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,保険業,41.0,41.0,1,4,★★★★★,0.0,18.0,0,4.2,0.0,1.0,0.0,15.0,7.0,0.0,0.0,監視(強),,0.0,3.4,2.3,5.2,4950,5188.0,5.3,0.1,18211,RS転換0日目 / RS加速+4.2 / 25MA上抜け6日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / ROE16% / PER10倍
8157,都築電気,情報・通信業,41.0,41.0,1,5,★★★★★,0.0,18.0,0,8.9,0.0,1.0,0.0,15.0,7.0,0.0,0.0,監視(強),,0.0,11.5,2.2,6.2,4146,4335.0,4.3,0.1,162,RS転換0日目 / RS加速+8.9 / 25MA上抜け7日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+17% / PER12倍
7337,ひろぎんホールディングス,銀行業,40.5,40.5,1,6,★★★★★,0.0,16.0,1,9.1,0.0,2.0,0.0,13.5,9.0,0.0,0.0,監視(強),,0.0,6.7,2.2,4.5,2289,2396.0,5.1,0.1,1469,RS転換1日目 / RS加速+9.1 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 増収+42% / PER16倍
6750,エレコム,電気機器,40.0,40.0,1,7,★★★★★,0.0,14.0,0,1.0,0.0,2.0,0.0,15.0,9.0,0.0,0.0,監視(強),,0.0,7.1,2.7,5.8,1921,2030.0,2.9,0.1,411,RS転換0日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+18% / ROE22% / PER8倍
319A,技術承継機構,金属製品,40.0,40.0,1,8,★★★★★,0.0,18.0,8,5.0,0.0,3.0,0.0,12.0,7.0,0.0,0.0,監視(強),,0.0,30.3,7.7,14.5,18513,21900.0,8.6,0.2,888,RS転換8日目 / RS加速+5.0 / 25MA上抜け7日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 増収+144% / ROE52%
6501,日立製作所,電気機器,39.8,46.6,3,9,★★★★☆,0.0,14.0,0,-5.0,16.8,3.3,0.0,7.0,5.5,0.0,0.0,監視(強),,0.0,2.1,2.8,1.9,5178,5485.0,4.2,0.1,58802,RS転換0日目 / 25MA上抜け5日目 / 高値圏かつ未過熱 / 量子(+5.4%) / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 増収+20%
9508,九州電力,電気・ガス業,39.2,39.2,1,10,★★★★☆,0.0,16.0,1,8.8,0.0,2.0,0.0,13.7,7.5,0.0,0.0,監視(強),,0.0,16.6,2.6,12.3,2000,2109.5,8.5,0.4,2915,RS転換1日目 / RS加速+8.8 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / PER7倍
8544,京葉銀行,銀行業,39.0,39.0,1,11,★★★★☆,0.0,18.0,0,11.9,0.0,1.0,0.0,12.0,8.0,0.0,0.0,監視(強),,0.0,3.6,3.6,2.6,2597,2799.0,5.6,0.1,1105,RS転換0日目 / RS加速+11.9 / 25MA上抜け3日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 増収+73% / PER21倍
7186,横浜フィナンシャルグループ,銀行業,39.0,39.0,1,12,★★★★☆,0.0,18.0,0,9.1,0.0,1.0,0.0,13.5,6.5,0.0,0.0,監視(強),,0.0,3.6,2.4,3.0,1850,1942.0,3.7,0.1,6591,RS転換0日目 / RS加速+9.1 / 25MA上抜け4日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / PER21倍
4812,電通総研,情報・通信業,38.8,38.8,1,13,★★★★☆,0.0,16.0,0,2.9,0.0,3.3,0.0,13.5,6.0,0.0,0.0,監視(強),,0.0,4.2,1.8,4.8,2749,2853.0,4.5,0.7,1829,RS転換0日目 / 25MA上抜け9日目 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / ROE18%
