code,name,sector,score,score_raw,days_in_top,rank,stars,linkage,ignition,rs_days,rs_slope,theme,supply,etf,tech,fund,material,penalty,signal,driver,gap_pct,rs20,atr_pct,dev25,stop,close,chg5d,v_ratio,turnover_m,reasons_str
5020,ＥＮＥＯＳホールディングス,石油・石炭製品,45.5,45.9,2,1,★★★★★,0.0,18.0,1,6.0,0.0,5.3,0.0,11.0,9.0,2.6,0.0,🔥新規買い候補,,0.0,1.1,2.4,2.5,1280,1345.0,2.4,1.6,9917,RS転換1日目 / RS加速+6.0 / 25MA上抜け9日目 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 開示[自己株式の取得](2日前) / 増収+19% / ROE20% / PER14倍
8876,リログループ,サービス業,44.8,43.3,2,2,★★★★★,0.0,16.0,2,11.1,0.0,5.3,0.0,13.5,8.5,0.0,0.0,🔥新規買い候補,,0.0,10.9,1.7,5.6,2171,2247.0,3.6,2.6,1047,RS転換2日目 / RS加速+11.1 / 高値圏かつ未過熱 / 出来高増2.6倍 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / ROE29% / PER17倍
8057,内田洋行,卸売業,44.0,44.0,1,3,★★★★★,0.0,16.0,3,12.8,0.0,8.0,0.0,12.0,8.0,0.0,0.0,監視(強),,0.0,8.7,1.8,5.6,2221,2304.0,2.2,3.2,298,RS転換3日目 / RS加速+12.8 / 高値圏かつ未過熱 / 出来高急増3.2倍 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 増収+25% / ROE18% / PER9倍
8411,みずほフィナンシャルグループ,銀行業,43.8,43.800000000000004,1,4,★★★★★,0.0,18.0,3,7.7,0.0,2.0,0.0,12.2,9.0,2.6,0.0,監視(強),,0.0,2.8,2.5,3.9,8240,8669.0,4.3,1.2,70643,RS転換3日目 / RS加速+7.7 / 25MA上抜け4日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 開示[自己株式の取得](2日前) / 増収+35% / PER15倍
8309,三井住友トラストグループ,銀行業,42.1,42.5,3,5,★★★★★,0.0,16.0,2,7.8,0.0,5.3,0.0,12.2,9.0,0.0,0.0,🔥新規買い候補,,0.0,5.0,2.2,3.6,1696,1775.0,1.4,2.0,15048,RS転換2日目 / RS加速+7.8 / 高値圏かつ未過熱 / 出来高増2.0倍 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 増収+27% / PER13倍
8354,ふくおかフィナンシャルグループ,銀行業,41.9,41.0,3,6,★★★★★,0.0,18.0,2,5.8,0.0,2.0,0.0,13.5,7.5,0.0,0.0,監視(強),,0.0,2.2,2.3,3.0,7464,7828.0,1.0,0.8,4872,RS転換2日目 / RS加速+5.8 / 25MA上抜け8日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / PER17倍
7337,ひろぎんホールディングス,銀行業,41.4,40.5,3,7,★★★★★,0.0,16.0,3,9.5,0.0,3.3,0.0,12.2,9.0,0.0,0.0,監視(強),,0.0,6.3,2.2,3.8,2282,2389.5,1.9,1.1,1438,RS転換3日目 / RS加速+9.5 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 増収+42% / PER16倍
3107,ダイワボウホールディングス,卸売業,41.2,41.300000000000004,3,8,★★★★★,0.0,18.0,2,4.0,0.0,2.0,0.0,12.2,6.5,2.6,0.0,🔥新規買い候補,,0.0,0.8,2.4,2.4,3589,3773.0,1.9,1.3,948,RS転換2日目 / RS加速+4.0 / 25MA上抜け8日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 開示[自己株式の取得](2日前) / ROE19% / PER10倍
5832,ちゅうぎんフィナンシャルグループ,銀行業,41.1,40.2,3,9,★★★★★,0.0,18.0,2,7.1,0.0,2.0,0.0,12.2,8.0,0.0,0.0,🔥新規買い候補,,0.0,4.1,2.3,2.9,3358,3523.0,1.3,1.4,968,RS転換2日目 / RS加速+7.1 / 25MA上抜け8日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 増収+136% / PER16倍
417A,ブルーゾーンホールディングス,小売業,40.9,40.9,1,10,★★★★★,0.0,16.0,2,8.9,0.0,3.3,0.0,12.0,7.0,2.6,0.0,監視(強),,0.0,5.6,1.5,3.4,1820,1878.5,0.4,1.0,468,RS転換2日目 / RS加速+8.9 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 開示[自己株式の取得](2日前) / 増収+15% / PER16倍
8078,阪和興業,卸売業,40.9,41.7,2,11,★★★★★,0.0,11.5,34,7.9,0.0,5.3,0.0,15.0,5.5,4.4,0.0,🔥新規買い候補,,0.0,11.1,2.2,7.8,1867,1953.0,5.1,1.9,898,RS加速+7.9 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 開示[子会社化](1日前) / 開示[自己株式の取得](2日前) / PER10倍
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,保険業,40.5,38.5,3,12,★★★★★,0.0,18.0,2,9.8,0.0,0.0,0.0,13.5,7.0,0.0,0.0,監視(強),,0.0,4.4,2.4,3.9,4887,5135.0,1.0,1.1,19494,RS転換2日目 / RS加速+9.8 / 25MA上抜け8日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / ROE16% / PER10倍
2659,サンエー,小売業,40.3,40.3,1,13,★★★★★,0.0,16.0,2,3.6,0.0,2.0,0.0,13.5,6.0,2.8,0.0,監視(強),,0.0,0.6,1.3,1.7,3299,3390.0,0.6,1.7,417,RS転換2日目 / RS加速+3.6 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 開示[自己株式の取得](1日前) / 増収+17% / PER20倍
8174,日本瓦斯,小売業,40.1,40.1,1,14,★★★★★,0.0,16.0,2,10.1,0.0,4.3,0.0,9.0,6.5,4.3,0.0,監視(強),,0.0,5.2,1.6,4.3,2936,3035.0,2.1,1.5,636,RS転換2日目 / RS加速+10.1 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / 52週高値目前 / RSI過熱(87)⚠ / 開示[自己株式の取得](2日前) / 開示[自己株式取得](6日前) / ROE23% / PER22倍
8381,山陰合同銀行,銀行業,40.0,44.4,5,15,★★★★★,0.0,16.0,3,9.1,0.0,3.3,0.0,13.5,9.0,2.6,0.0,監視(強),,0.0,7.0,2.3,4.4,2509,2631.0,1.9,0.9,1009,RS転換3日目 / RS加速+9.1 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 開示[自己株式の取得](2日前) / 増収+38% / PER18倍
4812,電通総研,情報・通信業,40.0,39.8,3,16,★★★★★,0.0,16.0,2,9.2,0.0,4.3,0.0,13.5,6.0,0.0,0.0,監視,,0.0,3.0,1.7,4.4,2754,2853.0,5.2,3.0,2617,RS転換2日目 / RS加速+9.2 / 高値圏かつ未過熱 / 出来高増3.0倍 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / ROE18%
2060,フィード・ワン,食料品,39.9,39.3,2,17,★★★★☆,0.0,16.0,3,10.2,0.0,4.3,0.0,13.5,5.5,0.0,0.0,監視,,0.0,13.1,2.1,6.9,1399,1462.0,3.5,1.2,165,RS転換3日目 / RS加速+10.2 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / PER9倍
5831,しずおかフィナンシャルグループ,銀行業,39.9,44.4,5,18,★★★★☆,0.0,16.0,6,9.0,0.0,3.3,0.0,13.5,9.0,2.6,0.0,監視,,0.0,11.2,2.5,6.1,3456,3639.0,2.0,1.2,6605,RS転換6日目 / RS加速+9.0 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 開示[自己株式の取得](2日前) / 増収+58% / PER22倍
9432,ＮＴＴ,情報・通信業,39.8,40.6,3,19,★★★★☆,0.0,16.0,2,10.4,0.0,3.3,0.0,12.2,6.5,2.6,0.0,監視,,0.0,12.6,1.7,8.0,169,175.1999969482422,3.3,1.0,39894,RS転換2日目 / RS加速+10.4 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 開示[自己株式の取得](2日前) / PER14倍
7282,豊田合成,輸送用機器,39.8,39.0,2,20,★★★★☆,0.0,18.0,1,3.1,0.0,2.0,0.0,12.0,7.0,0.0,0.0,監視,,0.0,2.3,2.8,1.7,5080,5378.0,-0.6,1.1,2229,RS転換1日目 / RS加速+3.1 / 25MA上抜け9日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 増収+17% / PER11倍
8387,四国銀行,銀行業,39.7,42.5,5,21,★★★★☆,0.0,18.0,3,11.1,0.0,2.0,0.0,13.5,9.0,0.0,0.0,監視,,0.0,4.8,3.2,5.0,3404,3635.0,5.1,0.7,546,RS転換3日目 / RS加速+11.1 / 25MA上抜け5日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 増収+69% / PER9倍
6702,富士通,電気機器,39.7,38.3,5,22,★★★★☆,0.0,12.0,2,12.6,8.8,2.0,0.0,7.7,5.0,2.8,0.0,監視,,0.0,6.8,3.2,2.4,3556,3801.0,2.3,1.0,23385,RS転換2日目 / RS加速+12.6 / 量子(+1.4%) / MA上昇配列 / 開示[自己株式の取得](1日前) / ROE16% / PER22倍
8359,八十二長野銀行,銀行業,39.6,42.8,5,23,★★★★☆,0.0,18.0,3,10.8,0.0,3.3,0.0,13.5,8.0,0.0,0.0,監視,,0.0,5.8,2.4,4.5,2598,2728.0,3.3,1.0,3458,RS転換3日目 / RS加速+10.8 / 25MA上抜け6日目 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 増収+25% / PER19倍
6419,マースグループホールディングス,機械,39.6,39.6,1,24,★★★★☆,0.0,18.0,0,4.9,0.0,3.0,0.0,11.0,5.0,2.6,0.0,監視,,0.0,0.5,1.4,1.1,3110,3200.0,-0.3,1.5,186,RS転換0日目 / RS加速+4.9 / 25MA上抜け6日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 開示[自己株式の取得](2日前) / PER9倍
4188,三菱ケミカルグループ,化学,39.5,39.5,1,25,★★★★☆,0.0,18.0,1,18.6,0.0,4.0,0.0,15.0,2.5,0.0,0.0,監視,,0.0,9.6,2.7,7.4,1199,1267.5,12.0,1.9,6954,RS転換1日目 / RS加速+18.6 / 25MA上抜け3日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク!
