code,name,sector,score,stars,linkage,theme,supply,etf,tech,fund,material,penalty,signal,driver,gap_pct,rs20,atr_pct,dev25,stop,close,chg5d,v_ratio,turnover_m,reasons_str
5803,フジクラ,非鉄金属,42.9,★★☆☆☆,12.5,20.0,3.3,0.0,5.0,0.0,2.1,0.0,,Coherent,-15.9,8.2,7.8,10.4,4372,5185.0,24.3,3.0,220531,Coherent+17.1%連動(β0.29) / 光通信・電線(+10.2%) / 出来高増3.0倍 / 開示[業績予想の修正](2日前)
5801,古河電気工業,非鉄金属,42.199999999999996,★★☆☆☆,11.9,20.0,3.3,0.0,5.0,0.0,2.0,0.0,,Coherent,-15.7,12.0,9.0,10.5,3161,3856.0,22.6,2.9,84832,Coherent+17.1%連動(β0.28) / 光通信・電線(+10.2%) / 出来高増2.9倍 / 開示[業績予想の修正](3日前)
6857,アドバンテスト,電気機器,41.7,★★☆☆☆,18.8,10.2,0.0,0.0,11.0,0.0,1.7,0.0,,Coherent,2.3,13.5,8.2,8.6,26916,32190.0,-1.0,0.7,297863,Coherent+17.1%連動(β0.28) 未反応+2.3% / HBM・後工程(+2.1%) / MA上昇配列 / パーフェクトオーダー / 開示[自己株式の取得](6日前)
4980,デクセリアルズ,化学,36.8,★☆☆☆☆,16.8,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,Skyworks,9.4,-20.9,6.8,-16.2,2636,3053.0,-7.6,0.8,6266,Skyworks+5.7%連動(β0.33) 未反応+9.4% / 光通信・電線(+10.2%)
6146,ディスコ,機械,34.599999999999994,★☆☆☆☆,21.9,10.2,1.0,0.0,1.5,0.0,0.0,0.0,,Coherent,7.4,-15.1,8.6,-10.9,48430,58440.0,-0.1,0.9,127859,Coherent+17.1%連動(β0.23) 未反応+7.4% / HBM・後工程(+2.1%)
7729,東京精密,精密機器,33.8,★☆☆☆☆,18.9,10.2,1.0,0.0,3.7,0.0,0.0,0.0,,Coherent,3.1,-0.9,7.0,-2.5,14943,17375.0,1.3,0.8,9812,Coherent+17.1%連動(β0.23) 未反応+3.1% / HBM・後工程(+2.1%)
5805,ＳＷＣＣ,非鉄金属,33.7,★☆☆☆☆,0.0,20.0,5.3,0.0,5.0,0.0,3.4,0.0,,,0.0,15.6,6.1,12.6,11383,12960.0,14.2,2.3,5543,光通信・電線(+10.2%) / 出来高増2.3倍 / 開示[上方修正](2日前)
5802,住友電気工業,非鉄金属,32.9,★☆☆☆☆,9.2,20.0,1.0,0.0,2.7,0.0,0.0,0.0,,Coherent,0.2,-8.2,8.3,-9.3,1778,2129.5,-2.5,1.2,58088,Coherent+17.1%連動(β0.20) / 光通信・電線(+10.2%)
6920,レーザーテック,電気機器,32.9,★☆☆☆☆,22.0,6.4,3.0,0.0,1.5,0.0,0.0,0.0,,Coherent,12.4,-9.8,10.1,-12.4,29896,37460.0,-1.2,1.4,167286,Coherent+17.1%連動(β0.23) 未反応+12.4% / 半導体製造装置(+0.2%)
6501,日立製作所,電気機器,32.5,★☆☆☆☆,6.7,13.1,3.3,0.0,7.5,0.0,1.9,0.0,,Coherent,-3.4,21.3,3.0,12.9,5285,5620.0,6.7,1.0,64607,Coherent+17.1%連動(β0.16) / 量子(+3.6%) / 買い出来高優勢 / MA上昇配列 / RSI過熱(88)⚠ / 開示[自己株式の取得](5日前)
