code,name,sector,score,score_raw,days_in_top,rank,stars,linkage,ignition,rs_days,rs_slope,theme,supply,etf,tech,fund,material,penalty,signal,driver,gap_pct,rs20,atr_pct,dev25,stop,close,chg5d,v_ratio,turnover_m,reasons_str
8876,リログループ,サービス業,46.2,46.2,1,1,★★★★★,0.0,16.0,1,6.1,0.0,6.7,0.0,15.0,8.5,0.0,0.0,監視(強),,0.0,10.8,1.7,6.7,2188,2262.5,3.4,2.7,972,RS転換1日目 / RS加速+6.1 / 高値圏かつ未過熱 / 出来高増2.7倍 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / ROE29% / PER17倍
5020,ＥＮＥＯＳホールディングス,石油・石炭製品,45.1,45.099999999999994,1,2,★★★★★,0.0,18.0,0,4.4,0.0,3.3,0.0,12.0,9.0,2.8,0.0,監視(強),,0.0,4.3,2.2,6.0,1328,1389.0,3.5,1.0,9476,RS転換0日目 / RS加速+4.4 / 25MA上抜け8日目 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 開示[自己株式の取得](1日前) / 増収+19% / ROE20% / PER14倍
8354,ふくおかフィナンシャルグループ,銀行業,42.4,43.8,2,3,★★★★★,0.0,18.0,1,8.3,0.0,3.3,0.0,15.0,7.5,0.0,0.0,監視(強),,0.0,4.9,2.3,4.6,7572,7941.0,3.8,0.7,4836,RS転換1日目 / RS加速+8.3 / 25MA上抜け7日目 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / PER18倍
8309,三井住友トラストグループ,銀行業,41.9,42.0,2,4,★★★★★,0.0,16.0,1,8.8,0.0,2.0,0.0,15.0,9.0,0.0,0.0,監視(強),,0.0,8.2,2.1,5.8,1732,1809.5,4.4,1.0,14393,RS転換1日目 / RS加速+8.8 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+27% / PER14倍
7337,ひろぎんホールディングス,銀行業,41.9,43.3,2,5,★★★★★,0.0,16.0,2,9.2,0.0,3.3,0.0,15.0,9.0,0.0,0.0,監視(強),,0.0,6.3,2.3,5.4,2311,2421.0,4.5,0.9,1517,RS転換2日目 / RS加速+9.2 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+42% / PER17倍
3663,セルシス,情報・通信業,41.8,41.8,1,6,★★★★★,0.0,18.0,1,13.4,0.0,3.3,0.0,12.0,8.5,0.0,0.0,監視(強),,0.0,12.5,3.6,6.2,1846,1990.0,6.8,1.0,406,RS転換1日目 / RS加速+13.4 / 25MA上抜け8日目 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 増収+18% / ROE28%
5832,ちゅうぎんフィナンシャルグループ,銀行業,41.5,41.5,2,7,★★★★★,0.0,18.0,1,8.1,0.0,2.0,0.0,13.5,8.0,0.0,0.0,監視(強),,0.0,5.8,2.4,4.3,3392,3566.0,3.9,1.0,948,RS転換1日目 / RS加速+8.1 / 25MA上抜け7日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 増収+136% / PER16倍
6371,椿本チエイン,機械,41.5,44.599999999999994,2,8,★★★★★,0.0,18.0,1,5.2,0.0,3.3,0.0,13.5,7.0,2.8,0.0,監視(強),,0.0,4.3,1.5,2.3,2654,2737.0,1.8,0.9,449,RS転換1日目 / RS加速+5.2 / 25MA上抜け8日目 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 開示[自己株式の取得](1日前) / 増収+30% / PER9倍
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,保険業,41.5,42.0,2,9,★★★★★,0.0,18.0,1,5.2,0.0,2.0,0.0,15.0,7.0,0.0,0.0,監視(強),,0.0,4.6,2.3,5.1,4944,5187.0,2.3,1.2,19432,RS転換1日目 / RS加速+5.2 / 25MA上抜け7日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / ROE16% / PER10倍
8157,都築電気,情報・通信業,41.5,42.0,2,10,★★★★★,0.0,18.0,1,10.8,0.0,2.0,0.0,15.0,7.0,0.0,0.0,監視(強),,0.0,9.9,2.1,5.5,4127,4310.0,3.5,1.0,158,RS転換1日目 / RS加速+10.8 / 25MA上抜け8日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+17% / PER12倍
6501,日立製作所,電気機器,41.4,46.099999999999994,4,11,★★★★★,0.0,14.0,1,-2.6,16.4,2.0,0.0,8.2,5.5,0.0,0.0,監視(強),,0.0,1.5,2.8,2.6,5232,5541.0,4.5,0.8,60111,RS転換1日目 / 25MA上抜け6日目 / 高値圏かつ未過熱 / 量子(+5.2%) / MA上昇配列 / パーフェクトオーダー / 増収+20%
3107,ダイワボウホールディングス,卸売業,41.1,44.3,2,12,★★★★★,0.0,18.0,1,5.4,0.0,2.0,0.0,15.0,6.5,2.8,0.0,監視(強),,0.0,6.2,2.3,5.0,3685,3862.0,4.9,0.8,934,RS転換1日目 / RS加速+5.4 / 25MA上抜け7日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 開示[自己株式の取得](1日前) / ROE19% / PER11倍
4666,パーク２４,不動産業,41.0,41.0,1,13,★★★★★,0.0,18.0,0,4.4,0.0,8.0,0.0,9.0,6.0,0.0,0.0,監視(強),,0.0,3.3,1.7,3.8,2004,2076.0,2.7,4.0,1679,RS転換0日目 / RS加速+4.4 / 25MA上抜け1日目 / 高値圏かつ未過熱 / 出来高急増4.0倍 / 買い出来高優勢 / MA上昇配列 / ROE41% / PER9倍
4956,コニシ,化学,41.0,41.0,1,14,★★★★★,0.0,18.0,0,7.9,0.0,4.3,0.0,12.2,6.5,0.0,0.0,監視(強),,0.0,4.1,2.0,3.6,1446,1505.0,4.1,1.3,115,RS転換0日目 / RS加速+7.9 / 25MA上抜け4日目 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / PER12倍
7988,ニフコ,化学,40.6,40.6,1,15,★★★★★,0.0,14.0,0,6.3,0.0,4.0,0.0,10.7,6.5,5.4,0.0,監視(強),,0.0,0.8,2.0,1.5,4967,5176.0,2.7,1.9,1384,RS転換0日目 / RS加速+6.3 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 開示[自己株式の取得](1日前) / 開示[自己株式の取得](2日前) / PER14倍
6345,アイチ　コーポレーション,機械,40.5,40.5,1,16,★★★★★,0.0,16.0,0,0.1,0.0,4.0,0.0,15.0,5.5,0.0,0.0,監視,,0.0,0.5,1.5,3.5,1434,1479.0,1.4,1.4,288,RS転換0日目 / 25MA上抜け7日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / PER15倍
2060,フィード・ワン,食料品,40.5,40.5,1,17,★★★★★,0.0,16.0,2,5.2,0.0,5.3,0.0,13.7,5.5,0.0,0.0,監視,,0.0,12.3,2.1,8.2,1409,1472.0,4.8,1.4,160,RS転換2日目 / RS加速+5.2 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / PER9倍
7282,豊田合成,輸送用機器,40.5,40.5,1,18,★★★★★,0.0,18.0,0,4.4,0.0,2.0,0.0,13.5,7.0,0.0,0.0,監視,,0.0,5.4,2.5,5.8,5307,5581.0,5.0,0.8,2300,RS転換0日目 / RS加速+4.4 / 25MA上抜け8日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 増収+17% / PER11倍
