code,name,sector,score,stars,linkage,theme,supply,etf,tech,fund,material,penalty,signal,driver,gap_pct,rs20,atr_pct,dev25,stop,close,chg5d,v_ratio,turnover_m,reasons_str
6857,アドバンテスト,電気機器,51.5,★★★☆☆,19.2,13.3,1.0,0.0,9.5,7.0,1.5,0.0,,SK hynix,4.9,33.0,5.6,6.9,31241,35150.0,-0.6,0.3,295124,SK hynix+5.4%連動(β0.53) 未反応+4.9% / HBM・後工程(+3.6%) / MA上昇配列 / パーフェクトオーダー / 開示[自己株式の取得](7日前) / 増収+39% / ROE57%
6146,ディスコ,機械,41.2,★★☆☆☆,17.2,13.3,1.0,0.0,2.7,7.0,0.0,0.0,,SK hynix,3.6,11.8,4.9,-0.4,54821,60730.0,0.7,0.1,97990,SK hynix+5.4%連動(β0.47) 未反応+3.6% / HBM・後工程(+3.6%) / 増収+27% / ROE27%
6508,明電舎,電気機器,38.8,★☆☆☆☆,4.1,11.9,5.3,0.0,9.5,8.0,0.0,0.0,,Arista,-3.8,45.1,4.7,12.8,10964,12110.0,7.8,0.1,3947,Arista+7.2%連動(β0.23) / AIデータセンター・電力(+3.0%) / 買い出来高優勢 / 資金流入増 / MA上昇配列 / パーフェクトオーダー / 増収+26% / ROE18% / PER23倍
3993,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,情報・通信業,36.8,★☆☆☆☆,15.8,6.0,3.0,0.0,8.0,4.0,0.0,0.0,,SK hynix,4.7,9.0,5.3,7.9,2861,3200.0,-3.3,0.1,1286,SK hynix+5.4%連動(β0.28) 未反応+4.7% / 生成AI・ソフト(-0.6%) / MA上昇配列 / 増収+81%
6920,レーザーテック,電気機器,36.2,★☆☆☆☆,16.5,13.2,1.0,0.0,0.0,5.5,0.0,0.0,,SK hynix,3.5,-5.3,6.3,-10.1,30347,34740.0,-0.5,0.1,121008,SK hynix+5.4%連動(β0.45) 未反応+3.5% / 半導体製造装置(+3.6%) / ROE34%
7729,東京精密,精密機器,35.6,★☆☆☆☆,5.8,13.3,2.0,0.0,7.0,7.5,0.0,0.0,,SK hynix,-5.2,19.4,4.6,4.8,16859,18585.0,7.2,0.1,8533,SK hynix+5.4%連動(β0.43) / HBM・後工程(+3.6%) / 増収+19%
4062,イビデン,電気機器,34.6,★☆☆☆☆,7.3,13.3,2.0,0.0,6.0,6.0,0.0,0.0,,SK hynix,-4.8,47.0,7.1,11.4,17736,20675.0,8.0,0.2,148291,SK hynix+5.4%連動(β0.54) / HBM・後工程(+3.6%) / 増収+26%
5985,サンコール,金属製品,34.3,★☆☆☆☆,16.0,0.0,5.3,0.0,12.0,6.0,0.0,-5.0,,SK hynix,8.9,105.8,10.1,30.2,1851,2318.0,-6.6,0.2,3559,SK hynix+5.4%連動(β0.30) 未反応+8.9% / 買い出来高優勢 / 資金流入増 / MA上昇配列 / パーフェクトオーダー / 過熱⚠25MA+30% / ROE18% / PER11倍
4443,Ｓａｎｓａｎ,情報・通信業,33.7,★☆☆☆☆,15.7,0.0,1.0,0.0,10.0,7.0,0.0,0.0,,Microsoft,4.6,-1.1,4.4,7.7,1969,2161.0,-2.7,0.2,2171,Microsoft+2.7%連動(β0.54) 未反応+4.6% / MA上昇配列 / パーフェクトオーダー / 増収+20% / ROE36%
6871,日本マイクロニクス,電気機器,33.3,★☆☆☆☆,9.6,13.2,2.0,0.0,0.0,8.5,0.0,0.0,,SK hynix,0.7,17.9,6.8,-0.7,12094,14000.0,1.7,0.1,20898,SK hynix+5.4%連動(β0.55) 未反応+0.7% / 半導体製造装置(+3.6%) / 増収+26% / ROE26%
6258,平田機工,機械,33.3,★☆☆☆☆,13.8,0.0,3.0,0.0,8.5,8.0,0.0,0.0,,SK hynix,3.2,24.9,6.3,6.1,3036,3470.0,1.3,0.1,1314,SK hynix+5.4%連動(β0.31) 未反応+3.2% / MA上昇配列 / パーフェクトオーダー / 増収+17% / PER17倍
5805,ＳＷＣＣ,非鉄金属,33.2,★☆☆☆☆,4.3,10.6,3.3,0.0,6.0,9.0,0.0,0.0,,SK hynix,-1.8,30.8,5.8,11.9,12719,14380.0,2.6,0.1,6856,SK hynix+5.4%連動(β0.32) / 光通信・電線(+2.3%) / 買い出来高優勢 / 増収+25% / ROE24% / PER23倍
285A,キオクシアホールディングス,電気機器,33.1,★☆☆☆☆,19.1,0.0,2.0,0.0,5.0,7.0,0.0,0.0,,SK hynix,5.5,31.3,8.9,3.5,43436,52900.0,-0.1,0.1,2119065,SK hynix+5.4%連動(β0.53) 未反応+5.5% / 増収+416% / ROE87%
6323,ローツェ,機械,32.9,★☆☆☆☆,7.0,13.2,2.0,0.0,3.7,7.0,0.0,0.0,,SK hynix,-2.9,13.8,5.0,1.4,3736,4151.0,6.6,0.1,8932,SK hynix+5.4%連動(β0.52) / 半導体製造装置(+3.6%) / ROE15%
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,情報・通信業,31.4,★☆☆☆☆,15.1,0.0,3.3,0.0,6.0,7.0,0.0,0.0,,SK hynix,7.2,9.3,4.7,4.7,3744,4130.0,-5.5,0.1,205,SK hynix+5.4%連動(β0.23) 未反応+7.2% / 買い出来高優勢 / 増収+75% / ROE37%
4992,北興化学工業,化学,31.2,★☆☆☆☆,14.0,0.0,1.0,0.0,9.7,6.5,0.0,0.0,,SK hynix,3.7,6.1,2.2,2.3,1914,2003.0,-2.7,0.1,206,SK hynix+5.4%連動(β0.21) 未反応+3.7% / MA上昇配列 / パーフェクトオーダー / PER10倍
8035,東京エレクトロン,電気機器,30.8,★☆☆☆☆,5.9,13.2,2.0,0.0,2.7,7.0,0.0,0.0,,SK hynix,-1.7,6.5,4.2,-0.6,51764,56480.0,4.6,0.1,203956,SK hynix+5.4%連動(β0.43) / 半導体製造装置(+3.6%) / 増収+33% / ROE31%
6501,日立製作所,電気機器,30.8,★☆☆☆☆,4.1,11.9,3.3,0.0,6.0,5.5,0.0,0.0,,Arista,-1.2,1.2,2.6,0.3,5059,5341.0,1.5,0.1,63635,Arista+7.2%連動(β0.23) / AIデータセンター・電力(+3.0%) / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 増収+20%
3110,日東紡績,ガラス・土石製品,30.599999999999998,★☆☆☆☆,17.9,0.0,0.0,0.0,2.7,10.0,0.0,0.0,,SK hynix,4.0,8.5,6.9,-0.4,2602,3015.0,-4.9,0.1,23372,SK hynix+5.4%連動(β0.44) 未反応+4.0% / 増収+21% / ROE28% / PER13倍
5802,住友電気工業,非鉄金属,29.5,★☆☆☆☆,4.9,10.6,2.0,0.0,4.0,8.0,0.0,0.0,,Lumentum,-1.2,2.0,5.0,-0.1,2021,2248.0,1.3,0.1,56369,Lumentum+8.3%連動(β0.24) / 光通信・電線(+2.3%) / 増収+16% / ROE16% / PER19倍
8388,阿波銀行,銀行業,29.0,★☆☆☆☆,0.0,0.0,4.3,0.0,15.0,8.0,1.7,0.0,,,0.0,11.7,3.3,11.0,9236,9890.0,10.9,0.4,1405,買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 開示[株式分割](2日前) / 増収+78% / PER25倍
