code,name,sector,score,stars,linkage,theme,supply,etf,tech,fund,material,penalty,signal,driver,gap_pct,rs20,atr_pct,dev25,stop,close,chg5d,v_ratio,turnover_m,reasons_str
6857,アドバンテスト,電気機器,38.5,★☆☆☆☆,17.4,6.0,1.0,0.0,12.0,0.0,2.1,0.0,,SK hynix,7.1,17.2,5.7,12.4,31793,35900.0,-2.6,0.7,305137,SK hynix+4.1%連動(β0.53) 未反応+7.1% / HBM・後工程(-7.1%) / MA上昇配列 / パーフェクトオーダー / 開示[自己株式の取得](4日前)
6508,明電舎,電気機器,34.9,★☆☆☆☆,14.9,6.0,3.0,0.0,11.0,0.0,0.0,0.0,,SK hynix,10.5,26.9,5.8,12.0,10141,11480.0,-7.2,0.8,3822,SK hynix+4.1%連動(β0.28) 未反応+10.5% / AIデータセンター・電力(-6.0%) / MA上昇配列 / パーフェクトオーダー
3110,日東紡績,ガラス・土石製品,30.2,★☆☆☆☆,16.5,0.0,0.0,0.0,3.7,10.0,0.0,0.0,,SK hynix,12.7,-4.8,9.2,0.2,2501,3065.0,-3.2,0.7,23558,SK hynix+4.1%連動(β0.44) 未反応+12.7% / 増収+21% / ROE28% / PER13倍
6264,マルマエ,機械,29.9,★☆☆☆☆,16.7,0.0,1.0,0.0,3.7,8.5,0.0,0.0,,SK hynix,10.3,0.6,5.5,0.6,1819,2045.0,-4.8,0.7,1146,SK hynix+4.1%連動(β0.46) 未反応+10.3% / 増収+58% / ROE25%
4062,イビデン,電気機器,29.5,★☆☆☆☆,17.5,6.0,0.0,0.0,6.0,0.0,0.0,0.0,,SK hynix,13.3,6.8,8.9,5.9,15757,19190.0,-7.7,0.7,154124,SK hynix+4.1%連動(β0.54) 未反応+13.3% / HBM・後工程(-7.1%)
5803,フジクラ,非鉄金属,29.5,★☆☆☆☆,16.5,6.0,1.0,0.0,6.0,0.0,0.0,0.0,,SK hynix,14.9,12.3,8.6,7.7,4375,5280.0,-6.8,1.0,319823,SK hynix+4.1%連動(β0.44) 未反応+14.9% / 光通信・電線(-6.6%)
5805,ＳＷＣＣ,非鉄金属,29.2,★☆☆☆☆,15.2,6.0,2.0,0.0,6.0,0.0,0.0,0.0,,SK hynix,6.7,22.1,6.3,12.7,12130,13890.0,-2.6,0.6,7085,SK hynix+4.1%連動(β0.32) 未反応+6.7% / 光通信・電線(-6.6%)
2108,日本甜菜製糖,食料品,29.1,★☆☆☆☆,0.0,0.0,7.7,0.0,12.5,0.0,8.9,0.0,,,0.0,18.6,2.7,12.7,5497,5810.0,6.8,2.1,163,出来高増2.1倍 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / RSI過熱(88)⚠ / 開示[自己株式の取得](0日前) / 開示[株式分割](0日前)
3932,アカツキ,情報・通信業,29.0,★☆☆☆☆,0.0,0.0,9.0,0.0,13.7,9.0,0.3,-3.0,,,0.0,29.3,3.8,18.9,3448,3730.0,11.0,3.3,305,出来高急増3.3倍 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 伸びすぎ注意(25MA+19%) / 開示[株式分割](12日前) / 増収+25% / PER10倍
3441,山王,金属製品,28.9,★☆☆☆☆,14.9,0.0,0.0,0.0,5.0,9.0,0.0,0.0,,SK hynix,9.3,0.4,5.3,2.3,2410,2699.0,-1.5,0.8,128,SK hynix+4.1%連動(β0.28) 未反応+9.3% / 増収+58% / ROE21% / PER10倍
4238,ミライアル,化学,28.9,★☆☆☆☆,14.6,0.0,3.3,0.0,11.0,0.0,0.0,0.0,,SK hynix,5.5,2.7,3.9,3.3,1572,1707.0,-4.3,0.2,101,SK hynix+4.1%連動(β0.26) 未反応+5.5% / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー
3374,内外テック,卸売業,28.7,★☆☆☆☆,14.7,0.0,3.0,0.0,11.0,0.0,0.0,0.0,,SK hynix,7.8,18.1,6.3,11.1,3524,4030.0,-9.5,0.5,254,SK hynix+4.1%連動(β0.26) 未反応+7.8% / MA上昇配列 / パーフェクトオーダー
6954,ファナック,電気機器,28.3,★☆☆☆☆,14.8,6.0,0.0,0.0,0.0,7.5,0.0,0.0,,Albemarle,8.6,-12.4,5.1,-7.5,5424,6035.0,-6.2,0.7,50127,Albemarle+5.4%連動(β0.21) 未反応+8.6% / ロボット(-9.0%) / 増収+18%
6871,日本マイクロニクス,電気機器,28.3,★☆☆☆☆,17.6,6.0,2.0,0.0,2.7,0.0,0.0,0.0,,SK hynix,12.9,-15.8,7.9,-4.4,11514,13690.0,-8.9,0.7,22000,SK hynix+4.1%連動(β0.55) 未反応+12.9% / 半導体製造装置(-9.0%)
5801,古河電気工業,非鉄金属,28.2,★☆☆☆☆,16.2,6.0,0.0,0.0,6.0,0.0,0.0,0.0,,SK hynix,12.8,9.3,9.7,5.5,3077,3818.0,-5.9,0.7,120330,SK hynix+4.1%連動(β0.41) 未反応+12.8% / 光通信・電線(-6.6%)
6258,平田機工,機械,28.1,★☆☆☆☆,15.1,0.0,2.0,0.0,11.0,0.0,0.0,0.0,,SK hynix,8.1,19.0,6.4,10.5,3076,3525.0,-7.8,0.8,1359,SK hynix+4.1%連動(β0.31) 未反応+8.1% / MA上昇配列 / パーフェクトオーダー
3891,ニッポン高度紙工業,パルプ・紙,28.0,★☆☆☆☆,15.3,0.0,1.0,0.0,2.7,9.0,0.0,0.0,,SK hynix,15.3,-12.1,8.4,-6.1,5359,6440.0,-10.4,0.5,1541,SK hynix+4.1%連動(β0.32) 未反応+15.3% / 増収+30% / PER25倍
8622,水戸証券,証券、商品先物取引業,28.0,★☆☆☆☆,0.0,0.0,5.3,0.0,13.7,9.0,0.0,0.0,,,0.0,16.9,3.2,11.9,861,920.0,6.7,1.2,343,買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+72% / PER18倍
9692,シーイーシー,情報・通信業,27.900000000000002,★☆☆☆☆,0.0,0.0,3.3,0.0,13.5,8.0,3.1,0.0,,,0.0,10.5,2.1,5.7,2296,2395.0,-0.6,0.7,258,買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 開示[上方修正](3日前) / 増収+17% / PER15倍
4461,第一工業製薬,化学,27.9,★☆☆☆☆,15.4,0.0,4.0,0.0,8.5,0.0,0.0,0.0,,SK hynix,11.4,24.6,7.5,10.9,11776,13840.0,-9.4,0.8,3240,SK hynix+4.1%連動(β0.33) 未反応+11.4% / 資金流入増 / MA上昇配列 / パーフェクトオーダー
6146,ディスコ,機械,27.9,★☆☆☆☆,16.9,6.0,1.0,0.0,4.0,0.0,0.0,0.0,,SK hynix,8.8,-11.0,5.2,-1.2,54927,61360.0,-6.3,0.5,116485,SK hynix+4.1%連動(β0.48) 未反応+8.8% / HBM・後工程(-7.1%)
6337,テセック,機械,27.2,★☆☆☆☆,14.7,0.0,5.3,0.0,7.2,0.0,0.0,0.0,,SK hynix,11.0,27.2,7.1,4.7,2619,3055.0,-11.2,0.1,503,SK hynix+4.1%連動(β0.26) 未反応+11.0% / 買い出来高優勢 / 資金流入増 / MA上昇配列 / パーフェクトオーダー
2760,東京エレクトロン　デバイス,卸売業,27.2,★☆☆☆☆,15.0,0.0,3.0,0.0,1.2,8.0,0.0,0.0,,SK hynix,9.8,3.2,5.4,-1.9,3544,3970.0,-10.1,0.4,1038,SK hynix+4.1%連動(β0.29) 未反応+9.8% / 増収+34% / ROE18% / PER15倍
5310,東洋炭素,ガラス・土石製品,26.9,★☆☆☆☆,14.9,6.0,1.0,0.0,5.0,0.0,0.0,0.0,,SK hynix,6.1,2.5,4.8,0.5,6256,6920.0,-5.5,0.6,810,SK hynix+4.1%連動(β0.28) 未反応+6.1% / 核融合(-4.8%)
6918,アバールデータ,電気機器,26.6,★☆☆☆☆,14.8,0.0,5.3,0.0,6.0,0.0,0.5,0.0,,SK hynix,12.2,9.0,5.3,6.8,3175,3550.0,-9.7,0.5,248,SK hynix+4.1%連動(β0.27) 未反応+12.2% / 買い出来高優勢 / 資金流入増 / 開示[業績予想の修正](11日前)
7729,東京精密,精密機器,26.599999999999998,★☆☆☆☆,16.4,6.0,2.0,0.0,2.2,0.0,0.0,0.0,,SK hynix,12.0,-5.7,5.4,-2.6,15413,17290.0,-9.7,0.7,9099,SK hynix+4.1%連動(β0.43) 未反応+12.0% / HBM・後工程(-7.1%)
6668,アドテック　プラズマ　テクノロジー,電気機器,26.5,★☆☆☆☆,15.5,0.0,1.0,0.0,10.0,0.0,0.0,0.0,,SK hynix,13.8,4.5,7.9,2.0,2898,3445.0,-7.4,0.8,499,SK hynix+4.1%連動(β0.35) 未反応+13.8% / MA上昇配列 / パーフェクトオーダー
6627,テラプローブ,電気機器,26.2,★☆☆☆☆,17.4,0.0,0.0,0.0,1.2,7.0,0.6,0.0,,SK hynix,22.5,-13.4,9.7,-11.1,7929,9840.0,-23.4,0.8,2121,SK hynix+4.1%連動(β0.53) 未反応+22.5% / 開示[株式分割](10日前) / 増収+20% / PER19倍
3131,シンデン・ハイテックス,卸売業,26.2,★☆☆☆☆,14.9,0.0,5.3,0.0,11.0,0.0,0.0,-5.0,,SK hynix,13.4,71.4,9.1,28.5,4973,6080.0,-11.6,0.4,452,SK hynix+4.1%連動(β0.28) 未反応+13.4% / 買い出来高優勢 / 資金流入増 / MA上昇配列 / パーフェクトオーダー / 過熱⚠25MA+28%
