code,name,sector,score,stars,linkage,theme,supply,etf,tech,fund,material,penalty,signal,driver,gap_pct,rs20,atr_pct,dev25,stop,close,chg5d,v_ratio,turnover_m,reasons_str
5803,フジクラ,非鉄金属,50.1,★★★☆☆,24.7,20.0,3.0,0.0,6.0,0.0,1.4,-5.0,,Ciena,5.1,15.4,7.6,22.8,4914,5800.0,25.3,1.4,253468,Ciena+14.2%連動(β0.36) 未反応+5.1% / 光通信・電線(+8.3%) / 過熱⚠25MA+23% / 開示[業績予想の修正](6日前)
5802,住友電気工業,非鉄金属,41.3,★★☆☆☆,18.8,20.0,1.0,0.0,1.5,0.0,0.0,0.0,,Ciena,3.4,-9.1,7.7,-2.0,1920,2270.0,5.0,1.1,58052,Ciena+14.2%連動(β0.24) 未反応+3.4% / 光通信・電線(+8.3%)
6871,日本マイクロニクス,電気機器,38.0,★☆☆☆☆,25.2,6.0,5.3,0.0,1.5,0.0,0.0,0.0,,Lam Research,6.5,-12.9,9.7,-2.2,11669,14460.0,-9.2,2.5,20153,Lam Research+10.0%連動(β0.53) 未反応+6.5% / 半導体製造装置(-3.7%) / 出来高増2.5倍
5801,古河電気工業,非鉄金属,37.1,★☆☆☆☆,11.9,20.0,1.0,0.0,6.0,0.0,1.2,-3.0,,Ciena,-0.4,16.4,9.1,16.8,3364,4111.0,4.9,1.4,99985,Ciena+14.2%連動(β0.33) / 光通信・電線(+8.3%) / 伸びすぎ注意(25MA+17%) / 開示[業績予想の修正](7日前)
6501,日立製作所,電気機器,35.5,★☆☆☆☆,6.9,17.8,3.3,0.0,7.5,0.0,0.0,0.0,,Lam Research,-0.9,18.3,3.0,12.2,5363,5702.0,4.1,0.7,66857,Lam Research+10.0%連動(β0.28) / 量子(+5.9%) / 買い出来高優勢 / MA上昇配列 / RSI過熱(88)⚠
6146,ディスコ,機械,35.5,★☆☆☆☆,24.0,8.0,2.0,0.0,1.5,0.0,0.0,0.0,,Lam Research,4.8,-11.6,7.7,-2.3,53316,62960.0,3.4,0.7,128774,Lam Research+10.0%連動(β0.48) 未反応+4.8% / HBM・後工程(+1.0%)
7012,川崎重工業,輸送用機器,34.5,★☆☆☆☆,14.9,14.9,1.0,0.0,3.7,0.0,0.0,0.0,,Emerson,3.5,4.3,4.1,2.5,2586,2818.0,-3.6,0.9,37217,Emerson+3.5%連動(β0.51) 未反応+3.5% / 防衛(+4.4%)
5805,ＳＷＣＣ,非鉄金属,33.5,★☆☆☆☆,6.2,20.0,2.0,0.0,6.0,0.0,2.3,-3.0,,Lam Research,-14.0,20.9,6.1,19.2,12244,13930.0,9.3,0.9,6346,Lam Research+10.0%連動(β0.25) / 光通信・電線(+8.3%) / 伸びすぎ注意(25MA+19%) / 開示[上方修正](6日前)
6103,オークマ,機械,33.3,★☆☆☆☆,16.9,0.0,2.0,0.0,12.0,0.0,2.4,0.0,,Lam Research,3.9,8.9,4.2,7.5,4967,5420.0,2.7,1.0,2723,Lam Research+10.0%連動(β0.21) 未反応+3.9% / MA上昇配列 / パーフェクトオーダー / 開示[自己株式の取得](3日前)
5310,東洋炭素,ガラス・土石製品,33.1,★☆☆☆☆,7.4,16.7,2.0,0.0,7.0,0.0,0.0,0.0,,Lam Research,0.2,6.9,4.9,8.8,6744,7480.0,3.0,0.7,856,Lam Research+10.0%連動(β0.28) / 核融合(+5.3%)
2760,東京エレクトロン　デバイス,卸売業,32.8,★☆☆☆☆,19.8,0.0,3.0,0.0,10.0,0.0,0.0,0.0,,Lam Research,6.7,12.6,5.9,8.6,3801,4310.0,-5.0,0.5,1022,Lam Research+10.0%連動(β0.31) 未反応+6.7% / MA上昇配列 / パーフェクトオーダー
6857,アドバンテスト,電気機器,32.5,★☆☆☆☆,12.5,8.0,0.0,0.0,15.0,0.0,0.0,-3.0,,Lam Research,-4.2,20.3,7.3,18.5,30684,35940.0,6.6,0.8,303137,Lam Research+10.0%連動(β0.50) / HBM・後工程(+1.0%) / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 伸びすぎ注意(25MA+18%)
6323,ローツェ,機械,32.1,★☆☆☆☆,22.6,6.0,1.0,0.0,2.5,0.0,0.0,0.0,,Lam Research,3.1,-5.7,8.4,-0.7,3541,4253.0,-5.4,0.9,13861,Lam Research+10.0%連動(β0.53) 未反応+3.1% / 半導体製造装置(-3.7%)
6315,ＴＯＷＡ,機械,32.1,★☆☆☆☆,23.1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,,Lam Research,4.4,-19.9,8.4,-10.8,2113,2541.0,-10.7,0.9,13554,Lam Research+10.0%連動(β0.44) 未反応+4.4% / HBM・後工程(+1.0%)
8015,豊田通商,卸売業,32.1,★☆☆☆☆,17.1,0.0,3.0,0.0,12.0,0.0,0.0,0.0,,Lam Research,5.6,18.3,3.5,8.9,6699,7198.0,-0.6,0.8,22250,Lam Research+10.0%連動(β0.20) 未反応+5.6% / MA上昇配列 / パーフェクトオーダー
6627,テラプローブ,電気機器,32.0,★☆☆☆☆,25.3,0.0,1.0,0.0,5.7,0.0,0.0,0.0,,Lam Research,9.3,3.0,8.2,6.6,10034,12000.0,-7.2,1.4,1744,Lam Research+10.0%連動(β0.53) 未反応+9.3%
6490,ＰＩＬＬＡＲ,機械,31.0,★☆☆☆☆,19.8,0.0,0.0,0.0,9.7,0.0,1.5,0.0,,Lam Research,4.7,6.3,7.9,5.1,8786,10440.0,-7.6,0.8,1798,Lam Research+10.0%連動(β0.31) 未反応+4.7% / MA上昇配列 / パーフェクトオーダー / 開示[増配](7日前)
6920,レーザーテック,電気機器,30.9,★☆☆☆☆,23.9,6.0,1.0,0.0,0.0,0.0,0.0,0.0,,Lam Research,4.8,-13.4,9.5,-7.5,31594,38980.0,-11.6,0.9,165204,Lam Research+10.0%連動(β0.48) 未反応+4.8% / 半導体製造装置(-3.7%)
7715,長野計器,精密機器,30.8,★☆☆☆☆,13.1,0.0,6.7,0.0,11.0,0.0,0.0,0.0,,Lam Research,2.3,8.2,5.4,6.8,3671,4115.0,-2.5,3.7,444,Lam Research+10.0%連動(β0.24) 未反応+2.3% / 出来高急増3.7倍 / MA上昇配列 / パーフェクトオーダー
8035,東京エレクトロン,電気機器,30.8,★☆☆☆☆,24.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,Lam Research,5.1,-18.7,7.1,-7.0,49913,58230.0,2.7,0.6,278025,Lam Research+10.0%連動(β0.51) 未反応+5.1% / 半導体製造装置(-3.7%)
4980,デクセリアルズ,化学,30.5,★☆☆☆☆,10.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,HPE,0.6,-19.3,6.3,-9.3,2789,3188.0,-3.1,0.6,6069,HPE+9.4%連動(β0.38) 未反応+0.6% / 光通信・電線(+8.3%)
7011,三菱重工業,機械,30.4,★☆☆☆☆,4.7,16.7,2.0,0.0,7.0,0.0,0.0,0.0,,GE Vernova,-4.6,13.2,3.7,9.6,3939,4256.0,6.4,1.2,78457,GE Vernova+5.9%連動(β0.32) / 核融合(+5.3%)
6517,デンヨー,電気機器,30.4,★☆☆☆☆,16.2,0.0,2.0,0.0,11.0,0.0,1.2,0.0,,Lam Research,7.7,17.1,4.9,7.6,3701,4100.0,-7.9,0.8,272,Lam Research+10.0%連動(β0.17) 未反応+7.7% / MA上昇配列 / パーフェクトオーダー / 開示[業績予想の修正](7日前)
4971,メック,化学,30.3,★☆☆☆☆,22.1,0.0,4.7,0.0,1.5,0.0,2.0,0.0,,Lam Research,4.0,-15.1,9.9,-10.9,6166,7690.0,-12.1,4.3,3267,Lam Research+10.0%連動(β0.40) 未反応+4.0% / 出来高急増4.3倍 / 開示[業績予想の修正](3日前)
4189,ＫＨネオケム,化学,30.2,★☆☆☆☆,13.7,0.0,3.0,0.0,13.5,0.0,0.0,0.0,,Lam Research,3.3,16.7,4.0,9.8,3190,3465.0,0.9,0.5,740,Lam Research+10.0%連動(β0.16) 未反応+3.3% / MA上昇配列 / パーフェクトオーダー / 52週高値目前
6702,富士通,電気機器,30.1,★☆☆☆☆,0.0,17.8,3.3,0.0,9.0,0.0,0.0,0.0,,,0.0,10.6,4.1,7.6,3440,3750.0,7.7,0.6,33760,量子(+5.9%) / 買い出来高優勢 / MA上昇配列
6463,ＴＰＲ,機械,29.8,★☆☆☆☆,15.8,0.0,2.0,0.0,12.0,0.0,0.0,0.0,,HPE,4.5,7.5,3.0,3.6,1417,1507.0,-1.2,0.7,239,HPE+9.4%連動(β0.16) 未反応+4.5% / MA上昇配列 / パーフェクトオーダー
5480,日本冶金工業,鉄鋼,29.3,★☆☆☆☆,15.2,0.0,1.0,0.0,12.0,0.0,1.1,0.0,,Emerson,5.5,8.6,2.9,6.6,5131,5450.0,9.3,0.5,478,Emerson+3.5%連動(β0.37) 未反応+5.5% / MA上昇配列 / パーフェクトオーダー / 開示[業績予想の修正](8日前)
7735,ＳＣＲＥＥＮホールディングス,電気機器,28.8,★☆☆☆☆,22.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,Lam Research,4.3,-23.0,7.8,-10.8,11587,13745.0,5.2,0.8,58259,Lam Research+10.0%連動(β0.43) 未反応+4.3% / 半導体製造装置(-3.7%)
6481,ＴＨＫ,機械,28.7,★☆☆☆☆,18.9,0.0,2.0,0.0,6.7,0.0,1.1,0.0,,HPE,4.7,2.6,6.5,6.0,6482,7443.0,-0.2,0.9,10500,HPE+9.4%連動(β0.29) 未反応+4.7% / 開示[業績予想の修正](8日前)
2737,トーメンデバイス,卸売業,28.5,★☆☆☆☆,18.5,0.0,4.0,0.0,11.0,0.0,0.0,-5.0,,Lam Research,4.5,98.3,9.1,48.2,25099,30700.0,-8.1,0.9,3855,Lam Research+10.0%連動(β0.26) 未反応+4.5% / 資金流入増 / MA上昇配列 / パーフェクトオーダー / 過熱⚠25MA+48%
3040,ソリトンシステムズ,情報・通信業,28.3,★☆☆☆☆,5.8,0.0,9.0,0.0,13.7,0.0,2.8,-3.0,,SK hynix,1.1,16.5,2.9,15.1,2163,2299.0,16.8,12.5,198,SK hynix+5.8%連動(β0.18) 未反応+1.1% / 出来高急増12.5倍 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 伸びすぎ注意(25MA+15%) / 開示[増配](1日前)
6668,アドテック　プラズマ　テクノロジー,電気機器,28.3,★☆☆☆☆,16.3,0.0,1.0,0.0,11.0,0.0,0.0,0.0,,Lam Research,2.5,-4.1,8.3,10.0,3090,3705.0,-3.9,0.4,695,Lam Research+10.0%連動(β0.36) 未反応+2.5% / MA上昇配列 / パーフェクトオーダー
6266,タツモ,機械,27.900000000000002,★☆☆☆☆,21.3,0.0,4.0,0.0,0.0,0.0,2.6,0.0,,Lam Research,3.6,-27.6,10.4,-10.6,3095,3910.0,-14.7,1.5,1784,Lam Research+10.0%連動(β0.42) 未反応+3.6% / 開示[子会社化](3日前) / 開示[業績予想の修正](8日前)
6284,日精エー・エス・ビー機械,機械,27.7,★☆☆☆☆,16.0,0.0,0.0,0.0,10.7,0.0,1.0,0.0,,KLA,7.4,-2.8,4.0,0.6,8700,9450.0,-3.4,0.7,331,KLA+8.6%連動(β0.19) 未反応+7.4% / MA上昇配列 / パーフェクトオーダー / 開示[設備投資](7日前)
6503,三菱電機,電気機器,27.6,★☆☆☆☆,11.8,6.8,2.0,0.0,7.0,0.0,0.0,0.0,,Lam Research,2.1,3.9,4.5,3.9,5367,5892.0,4.3,0.8,36484,Lam Research+10.0%連動(β0.21) 未反応+2.1% / AIデータセンター・電力(+0.4%)
4022,ラサ工業,化学,27.1,★☆☆☆☆,19.1,0.0,2.0,0.0,6.0,0.0,0.0,0.0,,HPE,5.5,11.0,7.5,11.3,1844,2171.0,-8.1,1.4,2900,HPE+9.4%連動(β0.30) 未反応+5.5%
7128,ユニソルホールディングス,卸売業,27.1,★☆☆☆☆,14.6,0.0,4.0,0.0,8.5,0.0,0.0,0.0,,Emerson,5.6,13.1,3.1,5.6,2702,2883.0,-2.3,1.2,367,Emerson+3.5%連動(β0.30) 未反応+5.6% / MA上昇配列 / パーフェクトオーダー
4369,トリケミカル研究所,化学,26.9,★☆☆☆☆,23.2,0.0,0.0,0.0,3.7,0.0,0.0,0.0,,Lam Research,5.4,-0.3,6.5,3.2,2960,3405.0,-7.2,0.4,1806,Lam Research+10.0%連動(β0.45) 未反応+5.4%
6407,ＣＫＤ,機械,26.9,★☆☆☆☆,22.2,0.0,2.0,0.0,2.7,0.0,0.0,0.0,,Lam Research,7.0,-6.7,8.2,-1.1,5274,6310.0,-6.5,1.8,5757,Lam Research+10.0%連動(β0.41) 未反応+7.0%
