code,name,sector,score,stars,linkage,theme,supply,etf,tech,fund,material,penalty,signal,driver,gap_pct,rs20,atr_pct,dev25,stop,close,chg5d,v_ratio,turnover_m,reasons_str
6702,富士通,電気機器,47.9,★★☆☆☆,18.5,12.1,3.3,0.0,6.0,5.0,3.0,0.0,見送り(地合い🔴),NASDAQ,8.0,13.8,4.7,3.0,3172,3500.0,0.5,1.1,30968,NASDAQ+5.8%連動(β0.45) 未反応+8.0% / 量子(+3.0%) / 買い出来高優勢 / 開示[自己株式の取得](0日前) / ROE16% / PER20倍
8551,北日本銀行,銀行業,46.5,★★☆☆☆,16.3,0.0,5.3,0.0,12.0,8.0,4.9,0.0,見送り(地合い🔴),Emerson,3.6,27.6,4.3,10.0,6181,6760.0,-3.4,1.0,289,Emerson+6.9%連動(β0.33) 未反応+3.6% / 買い出来高優勢 / 資金流入増 / MA上昇配列 / パーフェクトオーダー / 開示[自己株式の取得](1日前) / 開示[自己株式取得](4日前) / 増収+23% / PER13倍
6501,日立製作所,電気機器,46.4,★★☆☆☆,16.8,12.1,3.3,0.0,5.7,5.5,3.0,0.0,見送り(地合い🔴),Eaton,-1.7,23.5,3.0,9.9,4978,5301.0,5.5,1.1,62140,Eaton+15.0%連動(β0.45) / 量子(+3.0%) / 買い出来高優勢 / 開示[自己株式の取得](0日前) / 増収+20%
8601,大和証券グループ本社,証券、商品先物取引業,46.3,★★☆☆☆,22.9,0.0,4.3,0.0,8.2,9.0,1.9,0.0,見送り(地合い🔴),Eaton,5.7,16.2,3.0,2.0,1705,1812.0,-3.2,1.5,9009,Eaton+15.0%連動(β0.29) 未反応+5.7% / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 開示[子会社化](1日前) / 増収+57% / PER14倍
6857,アドバンテスト,電気機器,46.2,★★☆☆☆,18.0,6.0,0.0,0.0,11.0,7.0,4.2,0.0,見送り(地合い🔴),Coherent,-14.9,15.7,8.5,6.7,26093,31430.0,10.7,1.0,289907,Coherent+30.0%連動(β0.28) / HBM・後工程(-1.5%) / MA上昇配列 / パーフェクトオーダー / 開示[自己株式の取得](1日前) / 開示[業績予想の修正](6日前) / 増収+39% / ROE57%
6323,ローツェ,機械,46.0,★★☆☆☆,30.0,6.0,3.0,0.0,0.0,7.0,0.0,0.0,見送り(地合い🔴),Amazon,4.5,-10.9,10.6,-10.5,3130,3975.0,-11.9,1.2,15769,Amazon+17.8%連動(β0.47) 未反応+4.5% / 半導体製造装置(-11.8%) / 資金流入増 / ROE15%
6508,明電舎,電気機器,45.89999999999999,★★☆☆☆,16.4,6.0,6.7,0.0,7.0,8.0,1.8,0.0,見送り(地合い🔴),Eaton,-18.2,15.3,5.1,14.3,9377,10440.0,15.4,3.8,2332,Eaton+15.0%連動(β0.44) / AIデータセンター・電力(-0.4%) / 出来高急増3.8倍 / 開示[業績予想の修正](4日前) / 増収+26% / ROE18% / PER21倍
8035,東京エレクトロン,電気機器,45.8,★★☆☆☆,30.0,6.0,0.0,0.0,0.0,7.0,2.8,0.0,見送り(地合い🔴),Coherent,8.9,-16.3,8.7,-17.9,45401,54990.0,-12.4,1.0,303098,Coherent+30.0%連動(β0.24) 未反応+8.9% / 半導体製造装置(-11.8%) / 開示[自己株式の取得](1日前) / 増収+33% / ROE31%
6098,リクルートホールディングス,サービス業,45.699999999999996,★★☆☆☆,26.7,0.0,1.0,0.0,8.2,7.0,2.8,0.0,見送り(地合い🔴),Amazon,7.6,12.5,3.7,0.7,11461,12385.0,-1.0,0.9,52425,Amazon+17.8%連動(β0.33) 未反応+7.6% / MA上昇配列 / パーフェクトオーダー / 開示[自己株式の取得](1日前) / ROE31%
4062,イビデン,電気機器,45.5,★★☆☆☆,30.0,6.0,0.0,0.0,0.0,5.0,4.5,0.0,見送り(地合い🔴),Eaton,4.3,-24.9,12.2,-17.6,11741,15535.0,-7.0,1.0,142609,Eaton+15.0%連動(β0.59) 未反応+4.3% / HBM・後工程(-1.5%) / 開示[業績予想の修正](0日前) / 開示[株式分割](0日前) / 増収+19%
