code,name,sector,score,stars,linkage,theme,supply,etf,tech,fund,material,penalty,signal,driver,gap_pct,rs20,atr_pct,dev25,stop,close,chg5d,v_ratio,turnover_m,reasons_str
6857,アドバンテスト,電気機器,38.7,★☆☆☆☆,17.7,6.0,0.0,0.0,12.0,0.0,3.0,0.0,見送り(地合い🔴),Marvell,6.4,24.5,6.6,11.3,30725,35360.0,-1.6,0.7,304951,Marvell+7.1%連動(β0.32) 未反応+6.4% / HBM・後工程(-7.2%) / MA上昇配列 / パーフェクトオーダー / 開示[自己株式の取得](0日前)
6508,明電舎,電気機器,35.0,★☆☆☆☆,15.0,6.0,3.0,0.0,11.0,0.0,0.0,0.0,見送り(地合い🔴),Marvell,10.4,30.2,6.3,10.6,9817,11230.0,-5.5,0.8,3723,Marvell+7.1%連動(β0.17) 未反応+10.4% / AIデータセンター・電力(-4.8%) / MA上昇配列 / パーフェクトオーダー
3993,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,情報・通信業,32.2,★☆☆☆☆,0.0,18.9,5.3,0.0,8.0,0.0,0.0,0.0,見送り(地合い🔴),,0.0,22.3,4.9,13.9,2988,3310.0,12.2,1.5,1335,生成AI・ソフト(+6.5%) / 買い出来高優勢 / MA上昇配列
7729,東京精密,精密機器,30.1,★☆☆☆☆,16.1,6.0,2.0,0.0,6.0,0.0,0.0,0.0,見送り(地合い🔴),Marvell,11.1,-0.0,6.0,-2.7,15261,17340.0,-7.2,0.9,9076,Marvell+7.1%連動(β0.23) 未反応+11.1% / HBM・後工程(-7.2%)
5803,フジクラ,非鉄金属,30.099999999999998,★☆☆☆☆,16.9,6.0,1.0,0.0,6.0,0.0,0.2,0.0,見送り(地合い🔴),Marvell,7.7,17.4,8.9,9.1,4387,5341.0,-7.3,0.9,310819,Marvell+7.1%連動(β0.27) 未反応+7.7% / 光通信・電線(-4.9%) / 開示[業績予想の修正](13日前)
4062,イビデン,電気機器,29.9,★☆☆☆☆,17.9,6.0,0.0,0.0,6.0,0.0,0.0,0.0,見送り(地合い🔴),Marvell,10.2,9.9,9.7,5.6,15431,19150.0,-11.2,0.8,155049,Marvell+7.1%連動(β0.33) 未反応+10.2% / HBM・後工程(-7.2%)
6501,日立製作所,電気機器,29.7,★☆☆☆☆,15.2,6.0,3.3,0.0,5.2,0.0,0.0,0.0,見送り(地合い🔴),Marvell,10.0,14.5,3.2,0.7,4927,5263.0,-7.7,0.7,67204,Marvell+7.1%連動(β0.18) 未反応+10.0% / AIデータセンター・電力(-4.8%) / 買い出来高優勢 / MA上昇配列
4203,住友ベークライト,化学,29.6,★☆☆☆☆,14.6,0.0,3.0,0.0,12.0,0.0,0.0,0.0,見送り(地合い🔴),Marvell,7.3,8.2,5.8,1.4,6466,7310.0,-7.2,0.7,6298,Marvell+7.1%連動(β0.14) 未反応+7.3% / MA上昇配列 / パーフェクトオーダー
3374,内外テック,卸売業,29.2,★☆☆☆☆,15.0,0.0,3.0,0.0,11.0,0.0,0.2,0.0,見送り(地合い🔴),Marvell,12.6,21.9,6.6,9.5,3424,3945.0,-12.0,0.8,255,Marvell+7.1%連動(β0.17) 未反応+12.6% / MA上昇配列 / パーフェクトオーダー / 開示[業績予想の修正](13日前)
6337,テセック,機械,29.1,★☆☆☆☆,15.3,0.0,5.3,0.0,8.5,0.0,0.0,0.0,見送り(地合い🔴),Marvell,11.6,36.9,8.1,6.7,2587,3085.0,-12.6,0.3,505,Marvell+7.1%連動(β0.18) 未反応+11.6% / 買い出来高優勢 / 資金流入増 / MA上昇配列 / パーフェクトオーダー
