code,name,sector,score,score_raw,days_in_top,rank,stars,linkage,ignition,rs_days,rs_slope,theme,supply,etf,tech,fund,material,penalty,signal,driver,gap_pct,rs20,atr_pct,dev25,stop,close,chg5d,v_ratio,turnover_m,reasons_str
6857,アドバンテスト,電気機器,38.6,36.5,2,1,★★★★☆,0.0,11.0,19,1.8,8.4,0.0,0.0,9.5,7.0,0.6,0.0,監視(強),,0.0,18.9,5.5,6.8,31393,35270.0,-1.8,1.1,303555,高値圏かつ未過熱 / HBM・後工程(+1.2%) / MA上昇配列 / パーフェクトオーダー / 開示[自己株式の取得](11日前) / 増収+39% / ROE57%
8628,松井証券,証券、商品先物取引業,37.7,37.7,2,2,★★★★☆,0.0,16.0,0,8.4,0.0,8.0,0.0,13.7,0.0,0.0,0.0,🔥新規買い候補,,0.0,7.8,2.0,10.4,1163,1211.0,9.2,3.3,915,RS転換0日目 / RS加速+8.4 / 高値圏かつ未過熱 / 出来高急増3.3倍 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク!
6508,明電舎,電気機器,37.2,37.2,2,3,★★★★☆,0.0,13.0,19,6.0,10.7,4.0,0.0,9.5,0.0,0.0,0.0,監視(強),,0.0,32.9,4.8,8.2,10586,11720.0,2.1,1.2,4297,RS加速+6.0 / 高値圏かつ未過熱 / AIデータセンター・電力(+2.3%) / 資金流入増 / MA上昇配列 / パーフェクトオーダー
8707,岩井コスモホールディングス,証券、商品先物取引業,37.0,42.0,2,4,★★★★☆,0.0,14.0,7,2.9,0.0,4.3,0.0,13.7,10.0,0.0,0.0,監視(強),,0.0,10.3,2.1,9.5,4592,4795.0,4.2,1.2,510,RS転換7日目 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+40% / ROE17% / PER11倍
7711,助川電気工業,精密機器,36.7,36.7,2,5,★★★★☆,0.0,12.0,4,19.7,14.7,4.0,0.0,6.0,0.0,0.0,0.0,🔥新規買い候補,,0.0,19.2,4.1,12.5,4808,5240.0,10.3,1.7,356,RS転換4日目 / RS加速+19.7 / 核融合(+4.4%)
6501,日立製作所,電気機器,36.4,36.4,2,6,★★★★☆,0.0,4.0,-1,-9.4,19.9,4.3,0.0,8.2,0.0,0.0,0.0,監視,,0.0,-1.7,2.7,3.6,5247,5550.0,6.8,1.3,63716,25MA上抜け4日目 / 量子(+6.9%) / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー
8537,大光銀行,銀行業,35.5,34.9,2,7,★★★☆☆,0.0,16.0,1,4.7,0.0,3.3,0.0,12.0,0.0,3.6,0.0,監視,,0.0,10.8,3.7,7.3,2827,3055.0,2.6,0.4,135,RS転換1日目 / RS加速+4.7 / 高値圏かつ未過熱 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 開示[自己株式の取得](5日前) / 開示[自己株式の取得](6日前)
7322,三十三フィナンシャルグループ,銀行業,35.5,39.0,2,8,★★★☆☆,0.0,16.0,1,7.1,0.0,1.0,0.0,15.0,7.0,0.0,0.0,監視,,0.0,9.5,3.6,9.1,1999,2152.0,7.0,0.8,747,RS転換1日目 / RS加速+7.1 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+26% / PER18倍
8359,八十二長野銀行,銀行業,35.5,39.5,2,9,★★★☆☆,0.0,16.0,0,2.9,0.0,2.0,0.0,13.5,8.0,0.0,0.0,監視,,0.0,0.8,2.6,3.6,2558,2697.5,4.5,0.6,3738,RS転換0日目 / 25MA上抜け3日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 増収+25% / PER19倍
8387,四国銀行,銀行業,35.5,40.0,2,10,★★★☆☆,0.0,16.0,0,0.4,0.0,4.0,0.0,11.0,9.0,0.0,0.0,監視,,0.0,2.7,3.4,5.0,3367,3615.0,7.3,1.5,532,RS転換0日目 / 25MA上抜け2日目 / 高値圏かつ未過熱 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 増収+69% / PER9倍
