code,name,sector,score,stars,linkage,theme,supply,etf,tech,fund,material,penalty,signal,driver,gap_pct,rs20,atr_pct,dev25,stop,close,chg5d,v_ratio,turnover_m,reasons_str
7735,ＳＣＲＥＥＮホールディングス,電気機器,40.5,★★☆☆☆,0.0,20.0,4.0,0.0,9.5,7.0,0.0,0.0,,,0.0,26.0,7.2,12.1,16220,18930.0,12.1,1.0,61796,半導体製造装置(+13.5%) / 資金流入増 / MA上昇配列 / パーフェクトオーダー / ROE20%
6323,ローツェ,機械,40.0,★★☆☆☆,0.0,20.0,6.3,0.0,8.2,5.5,0.0,0.0,,,0.0,11.1,8.3,7.1,4124,4950.0,14.0,2.2,12491,半導体製造装置(+13.5%) / 出来高増2.2倍 / MA上昇配列 / パーフェクトオーダー / ROE15%
6871,日本マイクロニクス,電気機器,35.0,★☆☆☆☆,0.0,20.0,1.0,0.0,7.0,7.0,0.0,0.0,,,0.0,7.6,7.6,5.2,14326,16890.0,12.9,0.7,21806,半導体製造装置(+13.5%) / MA上昇配列 / パーフェクトオーダー / 増収+26% / ROE24%
8035,東京エレクトロン,電気機器,34.7,★☆☆☆☆,0.0,20.0,1.0,0.0,8.2,5.5,0.0,0.0,,,0.0,4.6,5.8,2.3,65574,74240.0,10.2,0.9,327032,半導体製造装置(+13.5%) / MA上昇配列 / パーフェクトオーダー / 開示[自己株式の取得](14日前) / ROE29%
6315,ＴＯＷＡ,機械,34.2,★☆☆☆☆,0.0,20.0,1.0,0.0,8.2,5.0,0.0,0.0,,,0.0,12.8,7.4,6.8,2895,3400.0,16.1,1.1,13630,HBM・後工程(+10.1%) / MA上昇配列 / パーフェクトオーダー / 増収+23%
7729,東京精密,精密機器,34.2,★☆☆☆☆,0.0,20.0,0.0,0.0,8.2,6.0,0.0,0.0,,,0.0,2.2,6.0,0.5,16909,19210.0,10.8,0.9,8869,HBM・後工程(+10.1%) / MA上昇配列 / パーフェクトオーダー
6857,アドバンテスト,電気機器,34.2,★☆☆☆☆,0.0,20.0,1.0,0.0,6.0,7.0,0.2,0.0,,,0.0,7.2,6.5,4.1,27402,31510.0,14.4,0.9,258908,HBM・後工程(+10.1%) / MA上昇配列 / パーフェクトオーダー / 開示[自己株式の取得](13日前) / 増収+41% / ROE58%
6083,ＥＲＩホールディングス,サービス業,32.8,★☆☆☆☆,0.0,0.0,8.0,0.0,12.0,10.0,2.8,0.0,,,0.0,15.0,3.1,9.1,1407,1500.0,7.5,9.4,121,出来高急増9.4倍 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 開示[増配](1日前) / 増収+30% / ROE44% / PER11倍
7085,カーブスホールディングス,サービス業,32.7,★☆☆☆☆,0.0,0.0,5.3,0.0,12.0,10.0,5.4,0.0,,,0.0,11.2,2.5,5.8,915,962.0,4.6,2.3,375,出来高増2.3倍 / MA上昇配列 / パーフェクトオーダー / 開示[自己株式の取得](1日前) / 開示[自己株式の取得](2日前) / 増収+22% / ROE22% / PER20倍
6920,レーザーテック,電気機器,32.0,★☆☆☆☆,0.0,20.0,2.0,0.0,6.0,4.0,0.0,0.0,,,0.0,-2.9,6.7,2.7,43072,49690.0,18.3,1.9,181079,半導体製造装置(+13.5%) / MA上昇配列 / パーフェクトオーダー / ROE44%
3993,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,情報・通信業,30.5,★☆☆☆☆,0.0,18.0,0.0,0.0,6.0,6.5,0.0,0.0,,,0.0,9.9,3.4,8.0,2746,2949.0,6.7,0.9,798,生成AI・ソフト(+6.0%) / 開示[自己株式の取得](14日前) / 増収+89%
1377,サカタのタネ,水産・農林業,28.1,★☆☆☆☆,0.0,0.0,4.0,0.0,12.0,7.0,5.1,0.0,,,0.0,7.8,2.1,3.6,4195,4375.0,2.3,1.6,634,MA上昇配列 / パーフェクトオーダー / 開示[増配](2日前) / 開示[自己株式の取得](2日前) / 増収+19% / PER15倍
7184,富山第一銀行,銀行業,27.0,★☆☆☆☆,0.0,0.0,4.3,0.0,13.7,9.0,0.0,0.0,,,0.0,21.1,3.6,12.7,2695,2904.0,3.1,1.4,538,買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+100% / PER12倍
8704,トレイダーズホールディングス,証券、商品先物取引業,27.0,★☆☆☆☆,0.0,0.0,2.0,0.0,15.0,10.0,0.0,0.0,,,0.0,15.8,3.6,9.2,1217,1312.0,7.4,1.4,106,MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+34% / ROE23% / PER8倍
8707,岩井コスモホールディングス,証券、商品先物取引業,26.7,★☆☆☆☆,0.0,0.0,4.0,0.0,13.7,9.0,0.0,0.0,,,0.0,12.7,2.2,9.0,4232,4425.0,5.2,1.6,347,MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+54% / PER10倍
8613,丸三証券,証券、商品先物取引業,26.7,★☆☆☆☆,0.0,0.0,4.0,0.0,13.7,9.0,0.0,0.0,,,0.0,12.6,1.7,7.9,1125,1164.0,5.1,2.0,306,MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+30% / PER15倍
6146,ディスコ,機械,26.5,★☆☆☆☆,0.0,20.0,0.0,0.0,1.0,5.5,0.0,0.0,,,0.0,-9.7,6.4,-6.3,64096,73550.0,7.8,0.7,120833,HBM・後工程(+10.1%) / ROE25%
8624,いちよし証券,証券、商品先物取引業,26.2,★☆☆☆☆,0.0,0.0,6.7,0.0,12.5,10.0,0.0,-3.0,,,0.0,21.8,2.7,15.6,1543,1630.0,11.6,2.6,149,出来高増2.6倍 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / RSI過熱(90)⚠ / 伸びすぎ注意(25MA+16%) / 増収+69% / ROE15% / PER12倍
8511,日本証券金融,その他金融業,26.2,★☆☆☆☆,0.0,0.0,5.3,0.0,13.7,7.0,0.2,0.0,,,0.0,7.7,1.8,4.0,2347,2435.0,2.2,2.2,513,出来高増2.2倍 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 開示[自己株式の取得](13日前) / 増収+80% / PER18倍
4062,イビデン,電気機器,26.0,★☆☆☆☆,0.0,20.0,1.0,0.0,0.0,5.0,0.0,0.0,,,0.0,-17.0,11.0,-13.5,15069,19340.0,1.3,0.9,209649,HBM・後工程(+10.1%) / 増収+19%
6058,ベクトル,サービス業,26.0,★☆☆☆☆,0.0,0.0,5.3,0.0,12.2,6.0,2.5,0.0,,,0.0,27.2,3.8,12.4,1795,1945.0,2.5,0.8,882,買い出来高優勢 / 資金流入増 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 開示[業績予想の修正](0日前) / ROE26% / PER18倍
7381,ＣＣＩグループ,銀行業,25.9,★☆☆☆☆,0.0,0.0,4.3,0.0,13.7,6.0,1.9,0.0,,,0.0,17.6,2.9,10.7,1059,1123.0,4.3,1.3,475,買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 開示[自己株式の取得](5日前) / 増収+503% / PER20倍
8411,みずほフィナンシャルグループ,銀行業,25.8,★☆☆☆☆,0.0,0.0,4.3,0.0,12.5,9.0,0.0,0.0,,,0.0,10.1,2.5,7.9,8200,8624.0,4.5,1.3,69086,買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / RSI過熱(86)⚠ / 開示[自己株式の取得](14日前) / 増収+45% / PER17倍
8604,野村ホールディングス,証券、商品先物取引業,25.8,★☆☆☆☆,0.0,0.0,4.3,0.0,12.5,9.0,0.0,0.0,,,0.0,14.5,2.4,11.4,1549,1626.0,5.4,1.4,15114,買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / RSI過熱(90)⚠ / 増収+28% / PER14倍
8609,岡三証券グループ,証券、商品先物取引業,25.7,★☆☆☆☆,0.0,0.0,3.0,0.0,13.7,9.0,0.0,0.0,,,0.0,12.2,2.2,8.1,1011,1057.0,3.6,1.4,366,MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+32% / PER10倍
7513,コジマ,小売業,25.6,★☆☆☆☆,0.0,0.0,5.0,0.0,10.0,5.5,5.1,0.0,,,0.0,-1.3,2.4,0.1,1256,1318.0,2.4,1.9,332,MA上昇配列 / パーフェクトオーダー / 開示[増配](2日前) / 開示[自己株式取得](2日前) / PER20倍
7979,松風,精密機器,25.5,★☆☆☆☆,0.0,0.0,4.0,0.0,15.0,6.5,0.0,0.0,,,0.0,12.8,2.2,6.9,2094,2189.0,6.6,1.6,186,MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / PER16倍
5805,ＳＷＣＣ,非鉄金属,25.2,★☆☆☆☆,0.0,16.2,0.0,0.0,0.0,9.0,0.0,0.0,,,0.0,-12.1,5.3,-7.6,10636,11900.0,5.7,0.7,5854,光通信・電線(+5.1%) / 増収+27% / ROE21% / PER19倍
8616,東海東京フィナンシャル・ホールディングス,証券、商品先物取引業,25.0,★☆☆☆☆,0.0,0.0,2.0,0.0,15.0,8.0,0.0,0.0,,,0.0,10.9,2.0,6.5,773,805.0,4.5,1.7,638,MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+27% / PER12倍
8387,四国銀行,銀行業,25.0,★☆☆☆☆,0.0,0.0,3.3,0.0,13.7,8.0,0.0,0.0,,,0.0,19.8,3.3,9.5,3065,3285.0,0.8,0.6,389,買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / 増収+49% / PER8倍
8551,北日本銀行,銀行業,25.0,★☆☆☆☆,0.0,0.0,9.0,0.0,11.0,5.0,0.0,0.0,,,0.0,22.1,3.5,14.2,5871,6310.0,10.1,3.0,177,出来高急増3.0倍 / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / RSI過熱(93)⚠ / PER12倍
3663,セルシス,情報・通信業,24.9,★☆☆☆☆,0.0,0.0,4.0,0.0,9.5,8.5,2.9,0.0,,,0.0,9.6,4.8,3.1,1733,1919.0,-5.2,1.2,531,MA上昇配列 / パーフェクトオーダー / 開示[業績予想の修正](5日前) / 開示[増配](8日前) / 増収+17% / ROE28%
8876,リログループ,サービス業,24.8,★☆☆☆☆,0.0,0.0,4.3,0.0,12.0,8.5,0.0,0.0,,,0.0,16.3,2.9,4.5,1911,2028.5,-6.9,0.5,1386,買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / ROE27% / PER16倍
4980,デクセリアルズ,化学,24.7,★☆☆☆☆,0.0,16.2,0.0,0.0,0.0,8.5,0.0,0.0,,,0.0,-12.1,6.4,-9.0,3439,3941.0,-0.4,0.4,9751,光通信・電線(+5.1%) / ROE27% / PER25倍
7730,マニー,精密機器,24.5,★☆☆☆☆,0.0,0.0,2.0,0.0,11.0,7.5,4.0,0.0,,,0.0,4.0,1.9,1.2,1666,1732.0,1.5,1.5,389,MA上昇配列 / パーフェクトオーダー / 開示[上方修正](0日前) / 増収+16%
8362,福井銀行,銀行業,24.5,★☆☆☆☆,0.0,0.0,4.3,0.0,12.2,8.0,0.0,0.0,,,0.0,23.1,4.2,11.8,5710,6230.0,2.3,1.3,406,買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 増収+22% / PER16倍
9433,ＫＤＤＩ,情報・通信業,24.400000000000002,★☆☆☆☆,0.0,0.0,3.3,0.0,13.5,6.5,1.1,0.0,,,0.0,7.0,2.2,4.2,2726,2852.5,1.6,0.8,24353,買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 52週高値目前 / 開示[自己株式の取得](9日前) / PER16倍
7350,おきなわフィナンシャルグループ,銀行業,24.3,★☆☆☆☆,0.0,0.0,5.3,0.0,12.5,6.5,0.0,0.0,,,0.0,16.8,2.6,11.7,6926,7300.0,7.0,2.1,415,出来高増2.1倍 / MA上昇配列 / パーフェクトオーダー / 52週高値ブレイク! / RSI過熱(93)⚠ / PER14倍
9837,モリト,卸売業,24.3,★☆☆☆☆,0.0,0.0,5.3,0.0,7.0,6.0,6.0,0.0,,,0.0,5.5,2.1,1.7,1726,1802.0,0.6,2.3,110,出来高増2.3倍 / 開示[自己株式の取得](1日前) / 開示[自己株式取得](1日前) / 増収+37% / PER21倍
6474,不二越,機械,24.1,★☆☆☆☆,0.0,0.0,5.3,0.0,12.0,4.5,2.3,0.0,,,0.0,11.3,5.1,7.1,5824,6490.0,8.3,2.9,873,出来高増2.9倍 / MA上昇配列 / パーフェクトオーダー / 開示[業績予想の修正](1日前) / PER21倍
