code,name,sector,score,stars,linkage,theme,supply,etf,tech,fund,material,penalty,signal,driver,gap_pct,rs20,atr_pct,dev25,stop,close,chg5d,v_ratio,turnover_m,reasons_str
5803,フジクラ,非鉄金属,43.8,★★☆☆☆,20.4,20.0,2.0,0.0,6.0,0.0,0.4,-5.0,,SK hynix,2.9,26.8,7.9,21.4,4975,5902.0,5.8,1.3,293246,SK hynix+10.5%連動(β0.44) 未反応+2.9% / 光通信・電線(+7.1%) / 過熱⚠25MA+21% / 開示[業績予想の修正](12日前)
6501,日立製作所,電気機器,43.8,★★☆☆☆,17.8,14.0,3.3,0.0,8.7,0.0,0.0,0.0,,SK hynix,5.0,11.7,3.0,6.3,5179,5514.0,-1.9,0.9,66275,SK hynix+10.5%連動(β0.22) 未反応+5.0% / AIデータセンター・電力(+4.0%) / 買い出来高優勢 / MA上昇配列
4980,デクセリアルズ,化学,43.0,★★☆☆☆,21.5,20.0,0.0,0.0,1.5,0.0,0.0,0.0,,SK hynix,5.9,-18.2,6.1,-10.4,2678,3053.0,-0.4,1.0,6007,SK hynix+10.5%連動(β0.36) 未反応+5.9% / 光通信・電線(+7.1%)
5805,ＳＷＣＣ,非鉄金属,40.900000000000006,★★☆☆☆,8.3,20.0,3.3,0.0,4.7,9.0,0.6,-5.0,,SK hynix,-4.9,35.2,6.0,22.0,12929,14700.0,7.6,0.9,6771,SK hynix+10.5%連動(β0.31) / 光通信・電線(+7.1%) / 買い出来高優勢 / 過熱⚠25MA+22% / 開示[上方修正](12日前) / 増収+25% / ROE24% / PER21倍
5310,東洋炭素,ガラス・土石製品,40.9,★★☆☆☆,19.4,13.5,2.0,0.0,6.0,0.0,0.0,0.0,,SK hynix,5.0,5.6,5.1,3.9,6447,7180.0,-3.2,0.7,831,SK hynix+10.5%連動(β0.28) 未反応+5.0% / 核融合(+3.8%)
7729,東京精密,精密機器,40.8,★★☆☆☆,23.0,8.8,2.0,0.0,7.0,0.0,0.0,0.0,,SK hynix,3.9,3.8,5.8,3.8,16425,18580.0,2.7,0.7,9155,SK hynix+10.5%連動(β0.43) 未反応+3.9% / HBM・後工程(+1.4%)
6857,アドバンテスト,電気機器,40.400000000000006,★★☆☆☆,19.6,8.8,0.0,0.0,12.0,0.0,0.0,0.0,,SK hynix,1.8,25.2,7.2,14.6,30716,35860.0,4.7,0.7,302015,SK hynix+10.5%連動(β0.54) 未反応+1.8% / HBM・後工程(+1.4%) / MA上昇配列 / パーフェクトオーダー
6504,富士電機,電気機器,40.3,★★☆☆☆,19.3,14.0,0.0,0.0,7.0,0.0,0.0,0.0,,SK hynix,3.8,13.8,5.7,6.0,12754,14410.0,-1.5,0.6,15087,SK hynix+10.5%連動(β0.31) 未反応+3.8% / AIデータセンター・電力(+4.0%)
4401,ＡＤＥＫＡ,化学,39.8,★☆☆☆☆,16.4,0.0,4.3,0.0,10.7,8.0,0.4,0.0,,SK hynix,3.8,11.5,3.8,10.7,4333,4692.0,-1.4,0.5,2615,SK hynix+10.5%連動(β0.19) 未反応+3.8% / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 開示[業績予想の修正](12日前) / 増収+15% / PER16倍
6146,ディスコ,機械,39.400000000000006,★☆☆☆☆,24.6,8.8,2.0,0.0,4.0,0.0,0.0,0.0,,SK hynix,6.0,-8.9,6.5,-1.8,54244,62350.0,-1.0,0.5,125356,SK hynix+10.5%連動(β0.48) 未反応+6.0% / HBM・後工程(+1.4%)
6508,明電舎,電気機器,39.4,★☆☆☆☆,7.4,14.0,4.3,0.0,10.7,8.0,0.0,-5.0,,SK hynix,-4.5,39.5,5.6,23.0,10870,12250.0,13.5,1.0,3519,SK hynix+10.5%連動(β0.28) / AIデータセンター・電力(+4.0%) / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 過熱⚠25MA+23% / 増収+26% / ROE18% / PER22倍
6652,ＩＤＥＣ,電気機器,38.8,★☆☆☆☆,16.0,0.0,4.3,0.0,12.0,6.5,0.0,0.0,,SK hynix,5.8,13.2,3.7,8.1,3484,3760.0,-1.6,1.0,551,SK hynix+10.5%連動(β0.15) 未反応+5.8% / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 増収+36%
4369,トリケミカル研究所,化学,38.8,★☆☆☆☆,23.3,0.0,1.0,0.0,6.0,8.5,0.0,0.0,,SK hynix,4.2,0.6,6.2,1.7,2954,3375.0,1.2,0.9,1680,SK hynix+10.5%連動(β0.43) 未反応+4.2% / ROE18% / PER18倍
6323,ローツェ,機械,38.7,★☆☆☆☆,24.1,8.6,1.0,0.0,5.0,0.0,0.0,0.0,,SK hynix,3.5,-10.1,7.4,-1.7,3564,4184.0,3.6,0.5,11851,SK hynix+10.5%連動(β0.52) 未反応+3.5% / 半導体製造装置(+1.3%)
3993,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,情報・通信業,38.5,★☆☆☆☆,19.3,9.2,2.0,0.0,8.0,0.0,0.0,0.0,,SK hynix,5.8,-3.6,4.9,1.5,2638,2924.0,0.8,0.9,1217,SK hynix+10.5%連動(β0.28) 未反応+5.8% / 生成AI・ソフト(+1.6%) / MA上昇配列
6103,オークマ,機械,38.400000000000006,★☆☆☆☆,16.3,0.0,2.0,0.0,12.0,7.0,1.1,0.0,,SK hynix,3.6,6.1,4.1,4.3,4891,5330.0,-3.4,0.4,2627,SK hynix+10.5%連動(β0.21) 未反応+3.6% / MA上昇配列 / パーフェクトオーダー / 開示[自己株式の取得](9日前) / 増収+16% / PER24倍
2737,トーメンデバイス,卸売業,38.4,★☆☆☆☆,20.4,0.0,4.0,0.0,11.0,8.0,0.0,-5.0,,SK hynix,5.0,97.9,10.2,35.7,24439,30700.0,4.5,1.0,4236,SK hynix+10.5%連動(β0.32) 未反応+5.0% / 資金流入増 / MA上昇配列 / パーフェクトオーダー / 過熱⚠25MA+36% / 増収+286% / ROE39% / PER19倍
4631,ＤＩＣ,化学,37.8,★☆☆☆☆,16.1,0.0,3.0,0.0,10.7,8.0,3.0,-3.0,,SK hynix,4.1,18.7,4.0,15.5,5058,5495.0,2.2,1.1,3747,SK hynix+10.5%連動(β0.16) 未反応+4.1% / MA上昇配列 / パーフェクトオーダー / 伸びすぎ注意(25MA+16%) / 開示[業績予想の修正](9日前) / 開示[増配](9日前) / 増収+19% / PER9倍
4062,イビデン,電気機器,37.5,★☆☆☆☆,25.7,8.8,0.0,0.0,6.0,0.0,0.0,-3.0,,SK hynix,3.8,27.9,9.4,15.7,16962,20875.0,5.0,0.8,157003,SK hynix+10.5%連動(β0.54) 未反応+3.8% / HBM・後工程(+1.4%) / 伸びすぎ注意(25MA+16%)
6273,ＳＭＣ,機械,37.5,★☆☆☆☆,19.0,0.0,0.0,0.0,11.0,7.5,0.0,0.0,,SK hynix,6.8,3.4,5.1,3.2,67541,75200.0,-4.0,0.9,22848,SK hynix+10.5%連動(β0.26) 未反応+6.8% / MA上昇配列 / パーフェクトオーダー / 増収+35%
6315,ＴＯＷＡ,機械,37.300000000000004,★☆☆☆☆,26.3,8.8,1.0,0.0,1.2,0.0,0.0,0.0,,SK hynix,10.1,-18.1,7.7,-12.0,2054,2430.0,-4.4,1.2,13240,SK hynix+10.5%連動(β0.54) 未反応+10.1% / HBM・後工程(+1.4%)
7013,ＩＨＩ,機械,36.5,★☆☆☆☆,0.0,20.0,0.0,0.0,8.0,8.5,0.0,0.0,,,0.0,6.9,4.5,5.8,2721,2987.5,8.3,0.7,41167,防衛(+7.9%) / MA上昇配列 / ROE33% / PER18倍
3878,巴川コーポレーション,化学,36.400000000000006,★☆☆☆☆,17.1,0.0,5.3,0.0,7.0,7.0,0.0,0.0,,SK hynix,5.4,13.7,3.6,6.9,819,883.0,1.6,0.4,107,SK hynix+10.5%連動(β0.19) 未反応+5.4% / 買い出来高優勢 / 資金流入増 / 増収+18% / PER9倍
6954,ファナック,電気機器,36.4,★☆☆☆☆,19.2,6.0,1.0,0.0,2.7,7.5,0.0,0.0,,SK hynix,9.3,-10.5,5.8,-5.2,5557,6285.0,-3.4,0.6,51201,SK hynix+10.5%連動(β0.27) 未反応+9.3% / ロボット(-4.5%) / 増収+18%
7637,白銅,卸売業,36.1,★☆☆☆☆,15.1,0.0,2.0,0.0,12.0,7.0,0.0,0.0,,SK hynix,3.5,13.7,5.5,8.9,3424,3850.0,5.9,0.8,197,SK hynix+10.5%連動(β0.18) 未反応+3.5% / MA上昇配列 / パーフェクトオーダー / 増収+29% / PER19倍
3374,内外テック,卸売業,36.0,★☆☆☆☆,18.9,0.0,3.0,0.0,9.7,7.0,0.4,-3.0,,SK hynix,8.4,26.2,5.9,17.3,3677,4170.0,-1.0,0.9,242,SK hynix+10.5%連動(β0.26) 未反応+8.4% / MA上昇配列 / パーフェクトオーダー / 伸びすぎ注意(25MA+17%) / 開示[業績予想の修正](12日前) / 増収+60% / PER14倍
6503,三菱電機,電気機器,36.0,★☆☆☆☆,7.0,14.0,2.0,0.0,8.0,5.0,0.0,0.0,,SK hynix,0.2,7.1,4.3,5.6,5508,6031.0,3.2,0.6,36586,SK hynix+10.5%連動(β0.24) / AIデータセンター・電力(+4.0%)
4183,三井化学,化学,35.900000000000006,★☆☆☆☆,12.0,0.0,3.3,0.0,12.0,6.5,2.1,0.0,,SK hynix,2.7,-1.2,2.8,1.8,2082,2205.0,-0.3,0.7,4782,SK hynix+10.5%連動(β0.15) 未反応+2.7% / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 開示[買収](2日前) / PER23倍
6324,ハーモニック・ドライブ・システムズ,機械,35.9,★☆☆☆☆,22.3,6.0,2.0,0.0,1.2,4.0,0.4,0.0,,SK hynix,11.0,-13.1,9.5,-10.0,4829,5960.0,-6.6,1.3,10273,SK hynix+10.5%連動(β0.39) 未反応+11.0% / ロボット(-4.5%) / 開示[業績予想の修正](12日前) / 増収+24%
5802,住友電気工業,非鉄金属,35.8,★☆☆☆☆,8.8,20.0,2.0,0.0,5.0,0.0,0.0,0.0,,SK hynix,-3.1,2.4,7.2,4.8,2074,2419.5,12.0,1.1,60932,SK hynix+10.5%連動(β0.33) / 光通信・電線(+7.1%)
6741,日本信号,電気機器,35.8,★☆☆☆☆,14.8,0.0,3.0,0.0,12.0,6.0,0.0,0.0,,SK hynix,4.0,9.4,3.9,5.9,1645,1784.0,-5.3,0.7,440,SK hynix+10.5%連動(β0.11) 未反応+4.0% / MA上昇配列 / パーフェクトオーダー / 増収+30% / PER9倍
7735,ＳＣＲＥＥＮホールディングス,電気機器,35.7,★☆☆☆☆,23.4,8.6,1.0,0.0,2.7,0.0,0.0,0.0,,SK hynix,4.9,-22.2,7.1,-8.0,11744,13695.0,3.9,0.6,51171,SK hynix+10.5%連動(β0.43) 未反応+4.9% / 半導体製造装置(+1.3%)
5801,古河電気工業,非鉄金属,35.6,★☆☆☆☆,12.9,20.0,3.0,0.0,4.7,0.0,0.0,-5.0,,SK hynix,0.8,28.7,8.7,21.5,3608,4368.0,10.5,1.5,110806,SK hynix+10.5%連動(β0.40) 未反応+0.8% / 光通信・電線(+7.1%) / 過熱⚠25MA+21%
6301,小松製作所,機械,35.6,★☆☆☆☆,16.1,0.0,1.0,0.0,12.0,6.5,0.0,0.0,,SK hynix,4.1,9.5,3.6,3.9,6650,7168.0,-3.7,0.7,22742,SK hynix+10.5%連動(β0.16) 未反応+4.1% / MA上昇配列 / パーフェクトオーダー / PER16倍
7762,シチズン時計,精密機器,35.400000000000006,★☆☆☆☆,9.5,0.0,5.3,0.0,11.0,8.0,1.6,0.0,,SK hynix,1.6,14.1,5.5,10.9,2317,2600.0,1.1,1.3,4775,SK hynix+10.5%連動(β0.17) 未反応+1.6% / 買い出来高優勢 / MA上昇配列 / パーフェクトオーダー / 開示[業績予想の修正](5日前) / 増収+30% / PER20倍
6627,テラプローブ,電気機器,35.4,★☆☆☆☆,26.1,0.0,2.0,0.0,6.0,0.0,1.3,0.0,,SK hynix,9.6,1.7,9.6,0.2,9149,11310.0,-2.9,1.8,2079,SK hynix+10.5%連動(β0.54) 未反応+9.6% / 開示[株式分割](5日前)
6723,ルネサスエレクトロニクス,電気機器,35.1,★☆☆☆☆,22.1,0.0,0.0,0.0,4.0,9.0,0.0,0.0,,SK hynix,4.0,-5.6,7.0,-1.5,3272,3807.0,-0.5,0.8,57334,SK hynix+10.5%連動(β0.39) 未反応+4.0% / 増収+28% / PER19倍
8035,東京エレクトロン,電気機器,34.900000000000006,★☆☆☆☆,23.6,8.6,0.0,0.0,2.7,0.0,0.0,0.0,,SK hynix,7.8,-18.6,6.5,-7.3,49051,56380.0,-0.7,0.9,247876,SK hynix+10.5%連動(β0.44) 未反応+7.8% / 半導体製造装置(+1.3%)
4971,メック,化学,34.9,★☆☆☆☆,22.8,0.0,1.0,0.0,1.2,9.0,0.9,0.0,,SK hynix,6.7,-13.5,9.9,-10.9,6024,7510.0,-16.4,1.4,3967,SK hynix+10.5%連動(β0.41) 未反応+6.7% / 開示[業績予想の修正](9日前) / 増収+88% / PER21倍
6302,住友重機械工業,機械,34.9,★☆☆☆☆,14.2,0.0,3.0,0.0,10.7,7.0,0.0,0.0,,SK hynix,3.1,12.5,4.2,7.7,5424,5919.0,-0.2,0.7,5753,SK hynix+10.5%連動(β0.18) 未反応+3.1% / MA上昇配列 / パーフェクトオーダー / 増収+18% / PER16倍
7826,フルヤ金属,その他製品,34.9,★☆☆☆☆,20.9,0.0,2.0,0.0,7.0,8.0,0.0,-3.0,,SK hynix,4.2,27.7,6.9,19.1,7440,8640.0,0.9,0.7,3964,SK hynix+10.5%連動(β0.34) 未反応+4.2% / 伸びすぎ注意(25MA+19%) / 増収+53% / PER12倍
6920,レーザーテック,電気機器,34.7,★☆☆☆☆,23.9,8.6,1.0,0.0,1.2,0.0,0.0,0.0,,SK hynix,9.8,-16.8,9.1,-10.6,30319,37020.0,-6.5,0.8,142737,SK hynix+10.5%連動(β0.45) 未反応+9.8% / 半導体製造装置(+1.3%)
4189,ＫＨネオケム,化学,34.6,★☆☆☆☆,16.1,0.0,3.0,0.0,9.5,6.0,0.0,0.0,,SK hynix,4.8,6.8,4.2,4.3,3071,3350.0,-3.9,0.4,708,SK hynix+10.5%連動(β0.16) 未反応+4.8% / MA上昇配列 / パーフェクトオーダー / PER12倍
3132,マクニカホールディングス,卸売業,34.5,★☆☆☆☆,19.5,0.0,3.0,0.0,12.0,0.0,0.0,0.0,,SK hynix,5.2,7.2,5.7,4.8,3188,3596.0,0.1,0.5,4080,SK hynix+10.5%連動(β0.28) 未反応+5.2% / MA上昇配列 / パーフェクトオーダー
8050,セイコーグループ,精密機器,34.49999999999999,★☆☆☆☆,18.4,0.0,3.0,0.0,10.7,7.0,0.4,-5.0,,SK hynix,6.8,39.8,6.3,24.1,9401,10760.0,0.8,0.7,4508,SK hynix+10.5%連動(β0.24) 未反応+6.8% / MA上昇配列 / パーフェクトオーダー / 過熱⚠25MA+24% / 開示[増配](12日前) / 増収+28% / ROE15%
