code,name,sector,score,stars,linkage,theme,supply,etf,tech,fund,material,penalty,signal,driver,gap_pct,rs20,atr_pct,dev25,stop,close,chg5d,v_ratio,turnover_m,reasons_str
6857,アドバンテスト,電気機器,47.0,★★☆☆☆,27.1,6.0,1.0,0.0,11.0,0.0,1.9,0.0,見送り(地合い🔴),SK hynix,9.8,17.8,5.9,7.4,30433,34500.0,-8.7,0.6,302082,SK hynix+11.4%連動(β0.53) 未反応+9.8% / HBM・後工程(-9.2%) / MA上昇配列 / パーフェクトオーダー / 開示[自己株式の取得](5日前)
6508,明電舎,電気機器,41.0,★★☆☆☆,20.0,6.0,3.0,0.0,12.0,0.0,0.0,0.0,見送り(地合い🔴),SK hynix,8.0,27.8,5.5,12.5,10376,11660.0,-7.9,1.1,3967,SK hynix+11.4%連動(β0.28) 未反応+8.0% / AIデータセンター・電力(-5.7%) / MA上昇配列 / パーフェクトオーダー
6855,日本電子材料,電気機器,40.5,★★☆☆☆,26.8,0.0,1.0,0.0,2.7,10.0,0.0,0.0,見送り(地合い🔴),SK hynix,18.7,-0.5,7.9,-1.5,5333,6340.0,-16.5,0.6,5745,SK hynix+11.4%連動(β0.52) 未反応+18.7% / 増収+77% / ROE18% / PER16倍
8338,筑波銀行,銀行業,40.0,★★☆☆☆,18.0,0.0,3.0,0.0,11.0,8.0,0.0,0.0,見送り(地合い🔴),SK hynix,13.0,2.0,5.5,2.4,617,693.0,-9.9,0.7,1438,SK hynix+11.4%連動(β0.21) 未反応+13.0% / MA上昇配列 / パーフェクトオーダー / 増収+26% / PER9倍
6315,ＴＯＷＡ,機械,39.9,★☆☆☆☆,27.4,6.0,0.0,0.0,0.0,6.5,0.0,0.0,見送り(地合い🔴),SK hynix,10.5,-20.0,6.5,-10.9,2022,2325.0,-9.0,0.7,12787,SK hynix+11.4%連動(β0.54) 未反応+10.5% / HBM・後工程(-9.2%) / 増収+100%
6862,ミナトホールディングス,電気機器,39.9,★☆☆☆☆,19.9,0.0,5.3,0.0,9.7,10.0,0.0,-5.0,見送り(地合い🔴),SK hynix,11.4,89.8,9.3,38.0,2871,3530.0,-10.1,0.6,1753,SK hynix+11.4%連動(β0.28) 未反応+11.4% / 買い出来高優勢 / 資金流入増 / MA上昇配列 / パーフェクトオーダー / 過熱⚠25MA+38% / 増収+343% / ROE61% / PER13倍
8395,佐賀銀行,銀行業,39.6,★☆☆☆☆,16.6,0.0,2.0,0.0,12.0,9.0,0.0,0.0,見送り(地合い🔴),SK hynix,9.1,4.5,4.3,5.3,5726,6260.0,-2.8,0.7,500,SK hynix+11.4%連動(β0.16) 未反応+9.1% / 資金流入増 / MA上昇配列 / パーフェクトオーダー / 増収+26% / PER13倍
4062,イビデン,電気機器,39.3,★☆☆☆☆,27.3,6.0,0.0,0.0,6.0,0.0,0.0,0.0,見送り(地合い🔴),SK hynix,16.1,6.8,8.9,3.4,15444,18795.0,-12.9,0.7,151614,SK hynix+11.4%連動(β0.54) 未反応+16.1% / HBM・後工程(-9.2%)
8368,百五銀行,銀行業,39.3,★☆☆☆☆,17.3,0.0,2.0,0.0,12.0,8.0,0.0,0.0,見送り(地合い🔴),SK hynix,7.8,4.7,4.2,4.1,2023,2207.0,-4.3,0.9,2069,SK hynix+11.4%連動(β0.18) 未反応+7.8% / MA上昇配列 / パーフェクトオーダー / 増収+48% / PER21倍
5802,住友電気工業,非鉄金属,39.2,★☆☆☆☆,21.5,6.0,1.0,0.0,2.7,8.0,0.0,0.0,見送り(地合い🔴),SK hynix,14.9,-14.3,6.5,-5.0,1872,2151.5,-13.0,0.5,59604,SK hynix+11.4%連動(β0.33) 未反応+14.9% / 光通信・電線(-12.7%) / 増収+16% / ROE16% / PER19倍
285A,キオクシアホールディングス,電気機器,38.7,★☆☆☆☆,27.0,0.0,2.0,0.0,2.7,7.0,0.0,0.0,見送り(地合い🔴),SK hynix,16.9,-10.5,10.5,-2.2,40261,50930.0,-17.6,0.7,2380474,SK hynix+11.4%連動(β0.53) 未反応+16.9% / 増収+416% / ROE87%
